t	x	y	th	v	w	dTh	dSi
5.050	1.800	2.400	1.571	0.000	0.000	0.000	0.000
5.101	1.800	2.400	1.571	0.000	0.000	0.000	0.000
5.151	1.800	2.400	1.574	0.005	0.067	0.003	0.000
5.201	1.800	2.400	1.578	-0.005	0.067	0.003	-0.000
5.251	1.800	2.400	1.591	0.000	0.268	0.013	0.000
5.302	1.800	2.400	1.598	0.000	0.134	0.007	0.000
5.352	1.800	2.400	1.604	0.000	0.134	0.007	0.000
5.402	1.800	2.400	1.611	0.000	0.134	0.007	0.000
5.452	1.800	2.400	1.618	0.000	0.134	0.007	0.000
5.502	1.800	2.400	1.621	0.005	0.067	0.003	0.000
5.552	1.800	2.400	1.628	0.000	0.134	0.007	0.000
5.603	1.800	2.400	1.641	0.000	0.267	0.013	0.000
5.653	1.800	2.400	1.641	0.000	0.000	0.000	0.000
5.703	1.800	2.400	1.655	0.000	0.268	0.013	0.000
5.753	1.800	2.400	1.655	0.000	0.000	0.000	0.000
5.804	1.800	2.400	1.668	0.000	0.268	0.013	0.000
5.854	1.800	2.400	1.672	0.005	0.067	0.003	0.000
5.904	1.800	2.400	1.682	-0.005	0.201	0.010	-0.000
5.954	1.800	2.400	1.689	0.000	0.134	0.007	0.000
6.004	1.800	2.400	1.695	0.000	0.134	0.007	0.000
6.054	1.800	2.400	1.709	0.000	0.268	0.013	0.000
6.105	1.800	2.400	1.712	0.005	0.067	0.003	0.000
6.155	1.800	2.400	1.719	0.000	0.134	0.007	0.000
6.205	1.800	2.400	1.726	0.000	0.134	0.007	0.000
6.255	1.800	2.400	1.736	-0.005	0.201	0.010	-0.000
6.305	1.800	2.400	1.746	0.005	0.201	0.010	0.000
6.355	1.800	2.400	1.753	0.000	0.134	0.007	0.000
6.406	1.800	2.400	1.759	0.000	0.134	0.007	0.000
6.456	1.800	2.400	1.766	0.000	0.134	0.007	0.000
6.506	1.800	2.400	1.773	0.000	0.134	0.007	0.000
6.556	1.800	2.400	1.786	0.000	0.268	0.013	0.000
6.606	1.800	2.400	1.790	-0.005	0.067	0.003	-0.000
6.656	1.800	2.400	1.800	0.005	0.201	0.010	0.000
6.707	1.800	2.400	1.806	0.000	0.134	0.007	0.000
6.757	1.800	2.400	1.813	0.000	0.134	0.007	0.000
6.807	1.800	2.401	1.823	0.005	0.201	0.010	0.000
6.857	1.800	2.400	1.830	-0.009	0.134	0.007	-0.000
6.907	1.800	2.401	1.837	0.009	0.134	0.007	0.000
6.957	1.800	2.400	1.847	-0.005	0.201	0.010	-0.000
7.008	1.800	2.400	1.854	0.000	0.134	0.007	0.000
7.058	1.800	2.400	1.860	0.000	0.134	0.007	0.000
7.108	1.800	2.400	1.870	-0.005	0.201	0.010	-0.000
7.158	1.800	2.400	1.880	0.005	0.201	0.010	0.000
7.216	1.800	2.400	1.887	0.000	0.116	0.007	0.000
7.267	1.800	2.400	1.894	0.000	0.133	0.007	0.000
7.317	1.800	2.400	1.901	0.000	0.134	0.007	0.000
7.367	1.800	2.400	1.911	-0.005	0.201	0.010	-0.000
7.417	1.800	2.400	1.921	0.005	0.201	0.010	0.000
7.468	1.800	2.400	1.928	0.000	0.134	0.007	0.000
7.518	1.800	2.400	1.934	0.000	0.134	0.007	0.000
7.568	1.800	2.400	1.941	0.000	0.134	0.007	0.000
7.618	1.800	2.400	1.951	-0.005	0.201	0.010	-0.000
7.668	1.800	2.400	1.961	0.005	0.201	0.010	0.000
7.718	1.800	2.400	1.965	-0.005	0.067	0.003	-0.000
7.769	1.800	2.400	1.975	0.005	0.201	0.010	0.000
7.819	1.800	2.400	1.978	-0.005	0.067	0.003	-0.000
7.869	1.800	2.400	1.992	0.000	0.269	0.013	0.000
7.919	1.800	2.400	2.002	0.005	0.201	0.010	0.000
7.969	1.800	2.400	2.005	-0.005	0.067	0.003	-0.000
8.019	1.800	2.400	2.012	0.000	0.134	0.007	0.000
8.069	1.800	2.400	2.022	-0.005	0.201	0.010	-0.000
8.120	1.800	2.400	2.032	0.005	0.201	0.010	0.000
8.170	1.800	2.400	2.035	0.005	0.067	0.003	0.000
8.220	1.800	2.400	2.045	-0.005	0.201	0.010	-0.000
8.270	1.800	2.400	2.052	0.000	0.134	0.007	0.000
8.320	1.800	2.400	2.059	0.000	0.134	0.007	0.000
8.371	1.800	2.400	2.066	0.000	0.134	0.007	0.000
8.421	1.800	2.400	2.072	0.000	0.133	0.007	0.000
8.471	1.800	2.400	2.086	0.000	0.268	0.013	0.000
8.522	1.800	2.400	2.089	0.005	0.067	0.003	0.000
8.572	1.800	2.400	2.099	-0.005	0.201	0.010	-0.000
8.622	1.800	2.400	2.106	0.000	0.134	0.007	0.000
8.672	1.800	2.400	2.116	-0.005	0.201	0.010	-0.000
8.722	1.800	2.400	2.119	-0.005	0.067	0.003	-0.000
8.772	1.800	2.400	2.130	0.005	0.201	0.010	0.000
8.822	1.800	2.400	2.136	0.000	0.134	0.007	0.000
8.873	1.800	2.400	2.143	0.000	0.134	0.007	0.000
8.923	1.800	2.400	2.153	0.005	0.201	0.010	0.000
8.973	1.800	2.400	2.160	-0.009	0.134	0.007	-0.000
9.023	1.800	2.400	2.167	0.000	0.134	0.007	0.000
9.079	1.800	2.400	2.173	0.000	0.120	0.007	0.000
9.129	1.800	2.400	2.187	0.000	0.268	0.013	0.000
9.179	1.800	2.400	2.190	0.005	0.067	0.003	0.000
9.230	1.800	2.400	2.200	-0.005	0.201	0.010	-0.000
9.280	1.800	2.400	2.210	0.005	0.201	0.010	0.000
9.330	1.800	2.400	2.214	-0.005	0.067	0.003	-0.000
9.380	1.800	2.400	2.227	0.000	0.269	0.013	0.000
9.430	1.800	2.400	2.227	0.000	0.000	0.000	0.000
9.480	1.800	2.400	2.241	0.000	0.268	0.013	0.000
9.530	1.800	2.400	2.247	0.000	0.134	0.007	0.000
9.581	1.800	2.400	2.254	0.000	0.134	0.007	0.000
9.631	1.800	2.400	2.264	-0.005	0.201	0.010	-0.000
9.681	1.800	2.400	2.271	0.000	0.134	0.007	0.000
9.731	1.801	2.399	2.274	-0.005	0.067	0.003	-0.000
9.781	1.800	2.400	2.284	0.005	0.201	0.010	0.000
9.831	1.800	2.400	2.291	0.000	0.134	0.007	0.000
9.881	1.801	2.399	2.301	-0.005	0.202	0.010	-0.000
