t	x	y	th	v	w	dTh	dSi
5.047	0.000	0.000	1.571	0.000	0.000	0.000	0.000
5.097	0.000	0.000	1.571	0.000	0.000	0.000	0.000
5.147	-0.000	0.000	1.574	0.005	0.067	0.003	0.000
5.200	0.000	0.000	1.578	-0.005	0.065	0.003	-0.000
5.250	-0.000	0.000	1.588	0.005	0.201	0.010	0.000
5.300	-0.000	0.000	1.601	0.000	0.268	0.013	0.000
5.350	0.000	0.000	1.611	-0.005	0.201	0.010	-0.000
5.400	0.000	0.000	1.618	0.000	0.134	0.007	0.000
5.450	-0.000	0.000	1.628	0.005	0.201	0.010	0.000
5.501	-0.000	0.000	1.641	0.000	0.268	0.013	0.000
5.551	0.000	0.000	1.645	-0.005	0.067	0.003	-0.000
5.601	0.000	0.000	1.658	0.000	0.268	0.013	0.000
5.651	-0.000	0.000	1.668	0.005	0.201	0.010	0.000
5.701	0.000	0.000	1.679	-0.005	0.201	0.010	-0.000
5.752	0.000	-0.000	1.689	-0.005	0.201	0.010	-0.000
5.802	0.000	0.000	1.699	0.005	0.201	0.010	0.000
5.852	-0.000	0.000	1.709	0.005	0.201	0.010	0.000
5.902	-0.000	0.000	1.722	0.000	0.268	0.013	0.000
5.952	0.000	0.000	1.726	-0.005	0.067	0.003	-0.000
6.002	0.000	0.000	1.739	0.000	0.268	0.013	0.000
6.052	-0.000	0.000	1.749	0.005	0.201	0.010	0.000
6.103	-0.000	0.000	1.763	0.000	0.268	0.013	0.000
6.153	-0.000	0.000	1.769	0.000	0.134	0.007	0.000
6.203	-0.000	0.000	1.776	0.000	0.134	0.007	0.000
6.253	-0.000	0.000	1.790	0.000	0.268	0.013	0.000
6.303	-0.000	0.000	1.803	0.000	0.268	0.013	0.000
6.354	-0.000	0.000	1.810	0.000	0.134	0.007	0.000
6.404	0.000	0.000	1.820	-0.005	0.201	0.010	-0.000
6.454	-0.000	0.000	1.830	0.005	0.201	0.010	0.000
6.504	-0.000	0.000	1.843	0.000	0.268	0.013	0.000
6.554	-0.000	0.000	1.850	0.000	0.134	0.007	0.000
6.604	0.000	0.000	1.860	-0.005	0.201	0.010	-0.000
6.654	-0.000	0.000	1.870	0.005	0.201	0.010	0.000
6.705	-0.000	0.000	1.884	0.000	0.268	0.013	0.000
6.755	-0.000	0.000	1.891	0.000	0.134	0.007	0.000
6.805	-0.000	0.000	1.904	0.000	0.268	0.013	0.000
6.855	-0.000	0.000	1.911	0.000	0.134	0.007	0.000
6.905	-0.000	0.000	1.924	0.000	0.269	0.013	0.000
6.955	-0.000	0.000	1.931	0.000	0.134	0.007	0.000
7.006	-0.000	0.000	1.941	0.005	0.201	0.010	0.000
7.056	-0.000	0.000	1.951	-0.005	0.201	0.010	-0.000
7.106	-0.000	0.000	1.965	0.000	0.268	0.013	0.000
7.156	-0.000	0.000	1.975	0.005	0.201	0.010	0.000
7.206	-0.000	0.000	1.978	-0.005	0.067	0.003	-0.000
7.256	-0.000	0.000	1.992	0.000	0.269	0.013	0.000
7.307	-0.000	0.000	2.005	0.000	0.269	0.013	0.000
7.357	-0.000	0.000	2.015	0.005	0.200	0.010	0.000
7.407	-0.000	0.000	2.029	0.000	0.268	0.013	0.000
7.457	-0.000	0.000	2.035	0.000	0.134	0.007	0.000
7.507	-0.000	0.000	2.042	0.000	0.134	0.007	0.000
7.557	-0.000	0.000	2.055	0.000	0.269	0.013	0.000
7.608	-0.000	0.000	2.069	0.000	0.269	0.013	0.000
7.658	-0.000	0.001	2.079	0.005	0.201	0.010	0.000
7.708	-0.000	0.001	2.086	0.000	0.134	0.007	0.000
7.758	-0.000	0.000	2.096	-0.005	0.201	0.010	-0.000
7.808	-0.000	0.001	2.106	0.005	0.202	0.010	0.000
7.858	-0.000	0.001	2.119	0.000	0.269	0.013	0.000
7.908	-0.000	0.000	2.130	-0.005	0.202	0.010	-0.000
7.958	-0.000	0.000	2.136	0.000	0.134	0.007	0.000
8.008	-0.000	0.001	2.146	0.005	0.202	0.010	0.000
8.059	-0.000	0.001	2.160	0.000	0.268	0.013	0.000
8.109	-0.000	0.000	2.170	-0.005	0.201	0.010	-0.000
8.159	-0.000	0.000	2.177	0.000	0.134	0.007	0.000
8.209	-0.000	0.000	2.190	0.000	0.268	0.013	0.000
8.259	-0.000	0.001	2.200	0.005	0.201	0.010	0.000
8.309	-0.000	0.000	2.210	-0.005	0.201	0.010	-0.000
8.360	-0.000	0.001	2.220	0.005	0.201	0.010	0.000
8.410	-0.000	0.000	2.231	-0.005	0.201	0.010	-0.000
8.460	-0.000	0.001	2.241	0.005	0.201	0.010	0.000
8.510	-0.000	0.000	2.251	-0.005	0.201	0.010	-0.000
8.560	0.000	0.000	2.261	-0.005	0.201	0.010	-0.000
8.610	-0.000	0.000	2.271	0.005	0.201	0.010	0.000
8.661	-0.000	0.000	2.284	0.000	0.268	0.013	0.000
8.711	-0.000	0.001	2.294	0.005	0.201	0.010	0.000
8.761	0.000	0.000	2.301	-0.009	0.134	0.007	-0.000
8.811	-0.000	0.000	2.311	0.005	0.201	0.010	0.000
8.861	-0.000	0.000	2.325	0.000	0.268	0.013	0.000
8.911	-0.000	0.001	2.335	0.005	0.201	0.010	0.000
8.962	-0.000	0.000	2.345	-0.005	0.201	0.010	-0.000
9.012	-0.000	0.000	2.352	0.000	0.134	0.007	0.000
9.062	-0.000	0.000	2.365	0.000	0.268	0.013	0.000
9.112	-0.000	0.001	2.375	0.005	0.201	0.010	0.000
9.162	-0.000	0.000	2.385	-0.005	0.201	0.010	-0.000
9.212	0.000	0.000	2.395	-0.005	0.201	0.010	-0.000
9.263	-0.000	0.000	2.406	0.005	0.201	0.010	0.000
9.313	-0.000	0.001	2.416	0.005	0.201	0.010	0.000
9.363	-0.000	0.000	2.426	-0.005	0.201	0.010	-0.000
9.413	0.000	0.000	2.436	-0.005	0.201	0.010	-0.000
9.463	-0.000	0.000	2.446	0.005	0.201	0.010	0.000
9.513	-0.000	0.001	2.456	0.005	0.201	0.010	0.000
9.563	-0.000	0.000	2.466	-0.005	0.201	0.010	-0.000
9.614	-0.000	0.000	2.473	0.000	0.134	0.007	0.000
9.664	-0.000	0.000	2.486	0.000	0.268	0.013	0.000
9.714	-0.000	0.000	2.500	0.000	0.268	0.013	0.000
9.764	-0.000	0.001	2.510	0.005	0.201	0.010	0.000
9.814	-0.000	0.000	2.520	-0.005	0.201	0.010	-0.000
9.864	0.000	0.000	2.530	-0.005	0.201	0.010	-0.000
9.915	-0.000	0.000	2.540	0.005	0.201	0.010	0.000
9.965	-0.000	0.001	2.550	0.005	0.201	0.010	0.000
10.015	-0.000	0.000	2.560	-0.005	0.201	0.010	-0.000
10.065	-0.000	0.000	2.567	0.000	0.134	0.007	0.000
10.115	-0.000	0.000	2.581	0.000	0.268	0.013	0.000
10.165	-0.000	0.001	2.591	0.005	0.201	0.010	0.000
10.216	-0.000	0.001	2.604	0.000	0.268	0.013	0.000
10.266	0.000	0.000	2.611	-0.009	0.134	0.007	-0.000
10.316	-0.000	0.000	2.621	0.005	0.201	0.010	0.000
10.366	-0.000	0.000	2.634	0.000	0.268	0.013	0.000
10.416	-0.000	0.000	2.641	0.000	0.134	0.007	0.000
10.466	0.000	0.000	2.651	-0.005	0.201	0.010	-0.000
10.517	0.000	0.000	2.665	0.000	0.268	0.013	0.000
10.567	-0.000	0.000	2.675	0.005	0.201	0.010	0.000
10.617	-0.000	0.000	2.682	0.000	0.134	0.007	0.000
10.667	0.000	0.000	2.692	-0.005	0.201	0.010	-0.000
10.717	0.000	0.000	2.705	0.000	0.269	0.013	0.000
10.767	-0.000	0.000	2.715	0.005	0.201	0.010	0.000
10.817	-0.000	0.001	2.725	0.005	0.201	0.010	0.000
10.868	0.000	0.000	2.732	-0.009	0.134	0.007	-0.000
10.918	0.000	0.000	2.746	0.000	0.269	0.013	0.000
10.968	-0.000	0.000	2.756	0.005	0.201	0.010	0.000
11.018	0.000	0.000	2.766	-0.005	0.201	0.010	-0.000
11.068	-0.000	0.000	2.776	0.005	0.201	0.010	0.000
