t	x	y	th	v	w	dTh	dSi
6.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.179	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.229	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.380	0.000	0.000	0.000	0.000	0.000	0.000	0.000
t	x	y	th	v	w	dTh	dSi
t	x	y	th	v	w	dTh	dSi
6.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.216	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.266	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.316	0.000	0.000	0.000	0.000	0.000	0.000	0.000
t	x	y	th	v	w	dTh	dSi
