t	x	y	th	v	w	dTh	dSi
5.048	0.000	0.000	1.571	0.000	0.000	0.000	0.000
5.098	0.000	-0.000	1.574	-0.005	0.067	0.003	-0.000
5.149	-0.000	-0.000	1.584	0.005	0.201	0.010	0.000
5.199	-0.000	-0.000	1.598	0.000	0.268	0.013	0.000
5.249	-0.000	-0.000	1.618	0.000	0.403	0.020	0.000
5.299	-0.000	-0.000	1.638	0.000	0.403	0.020	0.000
5.349	-0.000	-0.000	1.658	0.000	0.403	0.020	0.000
5.399	-0.000	-0.000	1.679	0.000	0.403	0.020	0.000
5.450	-0.000	-0.000	1.699	0.000	0.403	0.020	0.000
5.500	-0.000	-0.000	1.719	0.000	0.403	0.020	0.000
5.550	0.000	-0.000	1.736	-0.005	0.336	0.017	-0.000
5.600	-0.000	-0.000	1.759	0.005	0.470	0.024	0.000
5.650	-0.000	-0.000	1.779	0.000	0.403	0.020	0.000
5.700	-0.000	-0.000	1.800	0.000	0.403	0.020	0.000
5.750	-0.000	0.000	1.823	0.005	0.470	0.024	0.000
5.801	-0.000	0.000	1.840	-0.005	0.336	0.017	-0.000
5.851	0.000	-0.000	1.864	-0.005	0.470	0.024	-0.000
5.901	-0.000	-0.000	1.880	0.005	0.336	0.017	0.000
5.951	0.000	-0.000	1.904	-0.005	0.470	0.024	-0.000
6.001	-0.000	-0.000	1.928	0.005	0.470	0.024	0.000
6.051	-0.000	-0.000	1.948	0.000	0.403	0.020	0.000
6.101	-0.000	0.000	1.965	0.005	0.336	0.017	0.000
6.152	-0.000	-0.000	1.988	-0.005	0.470	0.024	-0.000
6.202	-0.000	-0.000	2.008	0.000	0.403	0.020	0.000
6.252	-0.000	-0.000	2.029	0.000	0.403	0.020	0.000
6.302	-0.000	-0.000	2.049	0.000	0.403	0.020	0.000
6.352	-0.000	-0.000	2.069	0.000	0.403	0.020	0.000
6.402	-0.000	0.000	2.093	0.005	0.470	0.024	0.000
6.452	-0.000	0.000	2.109	-0.005	0.336	0.017	-0.000
6.503	-0.000	0.000	2.133	0.005	0.470	0.024	0.000
6.553	-0.000	0.000	2.153	0.000	0.403	0.020	0.000
6.603	-0.000	0.000	2.173	0.000	0.403	0.020	0.000
6.653	-0.000	0.000	2.194	0.000	0.403	0.020	0.000
6.703	-0.000	0.000	2.214	0.000	0.403	0.020	0.000
6.753	-0.000	0.000	2.234	0.000	0.403	0.020	0.000
6.803	-0.000	0.000	2.254	0.000	0.403	0.020	0.000
6.853	-0.000	0.000	2.278	0.005	0.470	0.024	0.000
6.904	0.000	0.000	2.298	-0.009	0.403	0.020	-0.000
6.954	-0.000	0.000	2.318	0.009	0.403	0.020	0.000
7.004	-0.000	0.000	2.335	-0.005	0.336	0.017	-0.000
7.054	-0.000	0.000	2.358	0.005	0.470	0.024	0.000
7.104	-0.000	0.000	2.382	-0.005	0.470	0.024	-0.000
7.154	-0.000	0.000	2.399	0.005	0.336	0.017	0.000
7.204	-0.000	0.000	2.419	0.000	0.403	0.020	0.000
7.255	-0.000	0.000	2.439	0.000	0.403	0.020	0.000
7.305	-0.000	0.000	2.459	0.000	0.402	0.020	0.000
7.355	-0.000	0.000	2.480	0.000	0.401	0.020	0.000
7.405	-0.000	0.000	2.500	0.000	0.402	0.020	0.000
7.455	-0.000	0.000	2.520	0.000	0.403	0.020	0.000
7.506	-0.000	0.000	2.540	0.000	0.402	0.020	0.000
7.556	-0.000	0.000	2.560	0.000	0.403	0.020	0.000
7.606	-0.000	0.000	2.577	-0.005	0.335	0.017	-0.000
7.656	-0.000	0.000	2.601	0.005	0.470	0.024	0.000
7.706	-0.000	0.000	2.618	-0.005	0.335	0.017	-0.000
7.756	-0.000	0.000	2.641	0.005	0.470	0.024	0.000
7.807	-0.000	0.000	2.658	-0.005	0.335	0.017	-0.000
7.857	-0.000	0.000	2.682	0.005	0.470	0.024	0.000
7.907	-0.000	0.000	2.705	-0.005	0.469	0.024	-0.000
7.957	-0.000	0.000	2.722	0.005	0.336	0.017	0.000
8.007	-0.000	0.000	2.742	0.000	0.402	0.020	0.000
8.057	-0.000	0.000	2.762	0.000	0.403	0.020	0.000
8.108	-0.000	0.000	2.783	0.000	0.403	0.020	0.000
8.158	-0.000	0.000	2.803	0.000	0.403	0.020	0.000
8.208	-0.001	0.000	2.826	0.005	0.470	0.024	0.000
8.258	-0.000	0.000	2.843	-0.005	0.336	0.017	-0.000
8.308	-0.001	0.000	2.867	0.005	0.470	0.024	0.000
8.358	-0.000	0.000	2.884	-0.005	0.336	0.017	-0.000
8.408	-0.000	0.000	2.904	0.000	0.403	0.020	0.000
8.459	-0.000	0.000	2.924	0.000	0.402	0.020	0.000
8.509	-0.000	0.000	2.941	-0.005	0.336	0.017	-0.000
