t	x	y	th	v*100	w	dTh	dSi
0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.07	0.00	0.00	0.02	0.00	0.40	0.02	0.00
0.12	0.00	0.00	0.07	0.47	1.01	0.05	0.00
0.17	0.00	0.00	0.13	0.47	1.28	0.06	0.00
0.22	0.00	0.00	0.21	0.00	1.48	0.07	0.00
0.27	0.00	0.00	0.29	0.00	1.61	0.08	0.00
0.32	0.00	-0.00	0.37	-0.47	1.55	0.08	-0.00
0.37	0.00	0.00	0.44	0.47	1.55	0.08	0.00
0.42	0.00	0.00	0.52	0.47	1.55	0.08	0.00
0.47	0.00	0.00	0.60	-0.47	1.55	0.08	-0.00
0.52	0.00	0.00	0.67	0.00	1.48	0.07	0.00
0.57	0.00	-0.00	0.75	-0.47	1.54	0.08	-0.00
0.62	0.00	-0.00	0.83	-0.47	1.54	0.08	-0.00
0.67	0.00	-0.00	0.91	0.47	1.54	0.08	0.00
0.72	0.00	-0.00	0.98	-0.94	1.48	0.07	-0.00
0.77	0.00	-0.00	1.05	0.00	1.48	0.07	0.00
0.82	0.00	-0.00	1.13	0.00	1.48	0.07	0.00
0.87	0.00	-0.00	1.21	0.00	1.61	0.08	0.00
0.92	0.00	-0.00	1.29	0.47	1.54	0.08	0.00
0.97	0.00	-0.00	1.36	0.47	1.54	0.08	0.00
1.02	0.00	-0.00	1.43	-0.47	1.41	0.07	-0.00
1.07	0.00	-0.00	1.51	0.47	1.54	0.08	0.00
1.12	0.00	-0.00	1.59	0.00	1.61	0.08	0.00
1.17	0.00	0.00	1.65	1.41	1.14	0.06	0.00
1.22	-0.00	0.00	1.66	5.63	0.27	0.01	0.00
1.27	-0.00	0.01	1.66	7.52	0.00	0.00	0.00
1.32	-0.00	0.01	1.65	7.05	-0.20	-0.01	0.00
1.37	-0.00	0.02	1.64	9.40	-0.27	-0.01	0.00
1.42	-0.00	0.02	1.62	9.87	-0.34	-0.02	0.00
1.47	-0.00	0.03	1.60	9.38	-0.54	-0.03	0.00
1.52	-0.00	0.03	1.57	9.85	-0.47	-0.02	0.00
1.57	-0.00	0.04	1.55	9.86	-0.47	-0.02	0.00
1.62	-0.00	0.04	1.52	9.86	-0.47	-0.02	0.00
1.67	-0.00	0.05	1.49	10.80	-0.60	-0.03	0.01
1.72	-0.00	0.05	1.47	10.34	-0.54	-0.03	0.01
1.77	-0.00	0.06	1.44	9.87	-0.47	-0.02	0.00
1.82	0.00	0.06	1.42	9.39	-0.54	-0.03	0.00
1.87	0.00	0.07	1.40	10.34	-0.40	-0.02	0.01
1.92	0.00	0.07	1.37	8.92	-0.47	-0.02	0.00
1.97	0.00	0.07	1.35	9.86	-0.47	-0.02	0.00
2.02	0.00	0.08	1.33	9.87	-0.47	-0.02	0.00
2.07	0.01	0.08	1.30	9.86	-0.60	-0.03	0.00
2.12	0.01	0.09	1.28	10.34	-0.40	-0.02	0.01
2.17	0.01	0.09	1.25	9.40	-0.54	-0.03	0.00
2.22	0.01	0.10	1.23	9.86	-0.47	-0.02	0.00
2.27	0.01	0.10	1.20	9.87	-0.47	-0.02	0.00
2.32	0.01	0.11	1.17	9.40	-0.54	-0.03	0.00
2.37	0.02	0.11	1.15	10.34	-0.54	-0.03	0.01
2.42	0.02	0.12	1.12	9.87	-0.47	-0.02	0.00
2.47	0.02	0.12	1.10	9.40	-0.54	-0.03	0.00
2.52	0.02	0.13	1.07	9.87	-0.47	-0.02	0.00
2.57	0.02	0.13	1.05	9.87	-0.47	-0.02	0.00
2.62	0.03	0.13	1.02	9.40	-0.54	-0.03	0.00
2.67	0.03	0.14	1.00	9.87	-0.47	-0.02	0.00
2.72	0.03	0.14	0.98	9.85	-0.47	-0.02	0.00
2.77	0.04	0.15	0.95	9.39	-0.54	-0.03	0.00
2.82	0.04	0.15	0.93	10.34	-0.40	-0.02	0.01
2.87	0.04	0.15	0.90	9.40	-0.54	-0.03	0.00
2.92	0.04	0.16	0.88	9.40	-0.54	-0.03	0.00
2.97	0.05	0.16	0.85	10.34	-0.40	-0.02	0.01
3.02	0.05	0.16	0.83	9.40	-0.54	-0.03	0.00
3.07	0.05	0.17	0.80	9.87	-0.60	-0.03	0.00
3.12	0.06	0.17	0.78	10.34	-0.40	-0.02	0.01
3.18	0.06	0.18	0.75	9.40	-0.54	-0.03	0.00
3.23	0.06	0.18	0.73	9.87	-0.47	-0.02	0.00
3.28	0.07	0.18	0.70	9.87	-0.47	-0.02	0.00
3.33	0.07	0.18	0.68	9.40	-0.54	-0.03	0.00
3.38	0.08	0.19	0.65	10.33	-0.54	-0.03	0.01
3.43	0.08	0.19	0.63	9.39	-0.40	-0.02	0.00
3.48	0.08	0.19	0.60	9.40	-0.54	-0.03	0.00
3.53	0.09	0.20	0.58	9.41	-0.40	-0.02	0.00
3.58	0.09	0.20	0.56	10.35	-0.54	-0.03	0.01
3.63	0.10	0.20	0.53	10.34	-0.54	-0.03	0.01
3.68	0.10	0.20	0.50	9.41	-0.54	-0.03	0.00
3.73	0.11	0.21	0.47	10.35	-0.54	-0.03	0.01
3.78	0.11	0.21	0.45	9.88	-0.47	-0.02	0.00
3.83	0.11	0.21	0.43	9.88	-0.47	-0.02	0.00
3.88	0.12	0.21	0.40	9.41	-0.54	-0.03	0.00
3.93	0.12	0.21	0.38	9.88	-0.34	-0.02	0.00
3.98	0.13	0.22	0.36	8.94	-0.47	-0.02	0.00
4.03	0.13	0.22	0.34	9.88	-0.47	-0.02	0.00
4.08	0.14	0.22	0.31	10.35	-0.54	-0.03	0.01
4.13	0.14	0.22	0.28	10.35	-0.54	-0.03	0.01
4.18	0.15	0.22	0.26	10.35	-0.54	-0.03	0.01
4.23	0.15	0.22	0.23	9.40	-0.54	-0.03	0.00
4.28	0.16	0.22	0.20	10.34	-0.54	-0.03	0.01
4.33	0.16	0.23	0.18	9.88	-0.47	-0.02	0.00
4.38	0.17	0.23	0.15	9.88	-0.47	-0.02	0.00
4.43	0.17	0.23	0.13	9.87	-0.47	-0.02	0.00
4.48	0.18	0.23	0.11	8.93	-0.47	-0.02	0.00
4.53	0.18	0.23	0.08	9.87	-0.47	-0.02	0.00
4.58	0.19	0.23	0.06	10.32	-0.40	-0.02	0.01
4.63	0.19	0.23	0.05	9.81	-0.20	-0.01	0.00
4.68	0.20	0.23	0.05	9.85	-0.07	-0.00	0.00
4.73	0.20	0.23	0.05	9.40	0.00	0.00	0.00
4.78	0.20	0.23	0.05	9.87	0.07	0.00	0.00
4.83	0.21	0.23	0.06	9.86	0.07	0.00	0.00
4.88	0.21	0.23	0.06	9.39	0.00	0.00	0.00
4.93	0.22	0.23	0.05	9.87	-0.07	-0.00	0.00
4.98	0.22	0.23	0.05	10.34	0.00	0.00	0.01
5.03	0.23	0.23	0.05	9.86	-0.07	-0.00	0.00
5.08	0.23	0.23	0.05	9.40	0.00	0.00	0.00
5.13	0.24	0.23	0.05	10.33	0.00	0.00	0.01
5.18	0.24	0.23	0.05	9.37	0.00	0.00	0.00
5.23	0.25	0.23	0.05	9.39	0.00	0.00	0.00
5.28	0.25	0.23	0.05	9.38	0.00	0.00	0.00
5.33	0.26	0.23	0.05	9.39	0.00	0.00	0.00
5.38	0.26	0.23	0.05	9.38	0.00	0.00	0.00
5.43	0.27	0.23	0.05	10.34	0.00	0.00	0.01
5.48	0.27	0.23	0.05	9.40	0.00	0.00	0.00
5.53	0.28	0.23	0.05	9.87	0.07	0.00	0.00
5.58	0.28	0.23	0.05	9.87	-0.07	-0.00	0.00
5.63	0.29	0.23	0.05	9.87	0.07	0.00	0.00
5.68	0.29	0.23	0.05	10.34	0.00	0.00	0.01
5.73	0.30	0.23	0.05	9.87	-0.07	-0.00	0.00
5.78	0.30	0.23	0.05	9.87	-0.07	-0.00	0.00
5.83	0.31	0.23	0.04	9.87	-0.07	-0.00	0.00
5.88	0.31	0.23	0.04	9.70	-0.07	-0.00	0.00
5.93	0.32	0.24	0.04	9.86	0.07	0.00	0.00
5.98	0.32	0.24	0.05	9.86	0.07	0.00	0.00
6.03	0.33	0.24	0.05	10.33	0.00	0.00	0.01
6.08	0.33	0.24	0.05	9.80	0.07	0.00	0.00
6.14	0.34	0.24	0.05	9.40	0.00	0.00	0.00
6.19	0.34	0.24	0.05	9.87	0.07	0.00	0.00
6.24	0.35	0.24	0.05	10.34	0.00	0.00	0.01
6.29	0.35	0.24	0.05	9.96	0.00	0.00	0.01
6.34	0.36	0.24	0.05	10.33	0.00	0.00	0.01
6.39	0.36	0.24	0.05	9.38	0.00	0.00	0.00
6.44	0.37	0.24	0.05	9.87	-0.07	-0.00	0.00
6.49	0.37	0.24	0.05	9.86	0.07	0.00	0.00
6.54	0.38	0.24	0.06	9.40	0.13	0.01	0.00
6.59	0.38	0.24	0.06	9.86	-0.07	-0.00	0.00
6.64	0.39	0.24	0.06	10.30	0.00	0.00	0.01
6.69	0.39	0.24	0.05	9.84	-0.07	-0.00	0.00
6.74	0.40	0.24	0.06	9.87	0.07	0.00	0.00
6.79	0.40	0.24	0.05	9.86	-0.07	-0.00	0.00
6.84	0.41	0.24	0.05	9.86	-0.07	-0.00	0.00
6.89	0.41	0.24	0.05	9.40	0.00	0.00	0.00
6.94	0.42	0.24	0.05	9.40	0.00	0.00	0.00
6.99	0.42	0.24	0.05	9.86	0.07	0.00	0.00
7.04	0.43	0.24	0.05	8.46	0.00	0.00	0.00
7.09	0.43	0.24	0.05	9.40	0.00	0.00	0.00
7.14	0.44	0.24	0.05	9.40	0.00	0.00	0.00
7.19	0.44	0.24	0.06	10.79	0.07	0.00	0.01
7.24	0.45	0.24	0.06	9.37	0.00	0.00	0.00
