t	x	y	th	v	w	dTh	dSi
5.050	0.000	0.000	1.571	0.000	0.000	0.000	0.000
5.101	0.000	0.000	1.571	0.000	0.000	0.000	0.000
5.151	-0.000	0.000	1.574	0.005	0.067	0.003	0.000
5.201	-0.000	0.001	1.581	0.009	0.134	0.007	0.000
5.251	-0.000	0.001	1.591	0.005	0.201	0.010	0.000
5.301	0.000	0.000	1.598	-0.009	0.134	0.007	-0.000
5.351	-0.000	0.001	1.608	0.005	0.201	0.010	0.000
5.401	0.000	0.000	1.615	-0.009	0.134	0.007	-0.000
5.452	0.000	0.000	1.628	0.000	0.268	0.013	0.000
5.502	0.000	0.000	1.638	0.005	0.201	0.010	0.000
5.552	0.000	0.000	1.652	0.000	0.268	0.013	0.000
5.602	0.000	0.000	1.658	0.000	0.134	0.007	0.000
5.652	0.000	0.000	1.668	-0.005	0.201	0.010	-0.000
5.703	-0.000	0.000	1.679	0.005	0.201	0.010	0.000
5.753	-0.000	0.000	1.692	0.000	0.268	0.013	0.000
5.803	-0.000	0.000	1.699	0.000	0.134	0.007	0.000
5.853	0.000	0.000	1.709	-0.005	0.201	0.010	-0.000
5.903	-0.000	0.000	1.719	0.005	0.201	0.010	0.000
5.954	-0.000	0.000	1.732	0.000	0.268	0.013	0.000
6.004	-0.000	0.000	1.739	0.000	0.134	0.007	0.000
6.054	0.000	0.000	1.749	-0.005	0.201	0.010	-0.000
6.104	0.000	0.000	1.763	0.000	0.268	0.013	0.000
6.154	-0.000	0.000	1.773	0.005	0.201	0.010	0.000
6.204	-0.000	0.000	1.779	0.000	0.134	0.007	0.000
6.255	0.000	0.000	1.790	-0.005	0.201	0.010	-0.000
6.305	0.000	0.000	1.803	0.000	0.268	0.013	0.000
6.355	-0.000	0.000	1.813	0.005	0.201	0.010	0.000
6.405	-0.000	0.001	1.823	0.005	0.201	0.010	0.000
6.455	-0.000	0.000	1.833	-0.005	0.201	0.010	-0.000
6.505	0.000	0.000	1.843	-0.005	0.201	0.010	-0.000
6.556	-0.000	0.000	1.854	0.005	0.201	0.010	0.000
6.606	-0.000	0.000	1.867	0.000	0.268	0.013	0.000
6.656	-0.000	0.000	1.874	0.000	0.134	0.007	0.000
6.706	0.000	0.000	1.884	-0.005	0.201	0.010	-0.000
6.756	-0.000	0.000	1.894	0.005	0.201	0.010	0.000
6.807	0.000	0.000	1.904	-0.005	0.201	0.010	-0.000
6.857	-0.000	0.000	1.914	0.005	0.201	0.010	0.000
6.907	0.000	0.000	1.924	-0.005	0.201	0.010	-0.000
6.957	-0.000	0.000	1.934	0.005	0.201	0.010	0.000
7.007	-0.000	0.000	1.948	0.000	0.268	0.013	0.000
7.057	-0.000	0.000	1.955	0.000	0.134	0.007	0.000
7.108	0.000	0.000	1.965	-0.005	0.201	0.010	-0.000
7.158	-0.000	0.000	1.975	0.005	0.201	0.010	0.000
7.208	-0.000	0.000	1.988	0.000	0.268	0.013	0.000
7.258	-0.000	0.000	1.995	0.000	0.134	0.007	0.000
7.308	0.000	0.000	2.005	-0.005	0.201	0.010	-0.000
7.358	0.000	0.000	2.018	0.000	0.268	0.013	0.000
7.409	0.000	0.000	2.025	0.000	0.134	0.007	0.000
7.459	0.000	0.000	2.035	-0.005	0.201	0.010	-0.000
7.509	0.000	0.000	2.045	0.005	0.201	0.010	0.000
7.559	0.000	0.000	2.055	-0.005	0.201	0.010	-0.000
7.609	0.000	0.000	2.062	0.000	0.134	0.007	0.000
7.659	0.000	0.000	2.076	0.000	0.268	0.013	0.000
7.710	0.000	0.000	2.086	0.005	0.201	0.010	0.000
