t	x	y	th	v*100	w	dTh	dSi
0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.36	0.00	0.00	0.00	2.35	0.07	0.00	0.00
0.41	0.01	0.00	0.01	12.19	0.13	0.01	0.01
0.46	0.02	0.00	0.02	16.83	0.27	0.01	0.01
0.51	0.03	0.00	0.04	19.26	0.34	0.02	0.01
0.56	0.04	0.00	0.06	20.18	0.34	0.02	0.01
0.61	0.05	0.00	0.07	19.73	0.27	0.01	0.01
0.66	0.05	0.00	0.08	18.76	0.27	0.01	0.01
0.71	0.06	0.00	0.09	17.84	0.13	0.01	0.01
0.76	0.07	0.00	0.10	18.29	0.20	0.01	0.01
0.81	0.08	0.00	0.11	18.77	0.13	0.01	0.01
0.86	0.09	0.01	0.11	18.28	0.07	0.00	0.01
0.91	0.10	0.01	0.11	18.32	0.07	0.00	0.01
0.96	0.11	0.01	0.12	18.31	0.07	0.00	0.01
1.02	0.12	0.01	0.11	17.38	-0.07	-0.00	0.01
1.07	0.13	0.01	0.11	18.79	0.00	0.00	0.01
1.12	0.14	0.01	0.11	17.38	-0.07	-0.00	0.01
1.17	0.15	0.01	0.11	17.38	-0.07	-0.00	0.01
1.22	0.15	0.01	0.11	17.37	0.07	0.00	0.01
1.27	0.16	0.01	0.11	17.85	0.00	0.00	0.01
1.32	0.17	0.02	0.12	17.38	0.20	0.01	0.01
1.37	0.18	0.02	0.12	16.43	0.07	0.00	0.01
1.42	0.19	0.02	0.13	17.83	0.13	0.01	0.01
1.47	0.20	0.02	0.13	17.38	-0.07	-0.00	0.01
1.52	0.21	0.02	0.13	18.31	0.07	0.00	0.01
1.57	0.21	0.02	0.13	16.91	0.00	0.00	0.01
1.62	0.22	0.02	0.13	16.91	0.00	0.00	0.01
1.67	0.23	0.02	0.13	16.90	0.00	0.00	0.01
1.72	0.24	0.02	0.13	16.91	0.00	0.00	0.01
1.77	0.25	0.03	0.13	16.89	0.00	0.00	0.01
1.82	0.26	0.03	0.13	16.44	0.07	0.00	0.01
1.87	0.26	0.03	0.13	16.43	-0.07	-0.00	0.01
1.92	0.27	0.03	0.13	15.51	0.07	0.00	0.01
1.97	0.28	0.03	0.13	15.96	-0.13	-0.01	0.01
2.02	0.29	0.03	0.12	15.43	-0.07	-0.00	0.01
2.07	0.30	0.03	0.13	15.48	0.07	0.00	0.01
2.12	0.30	0.03	0.12	15.50	-0.07	-0.00	0.01
2.17	0.31	0.03	0.13	14.55	0.20	0.01	0.01
2.22	0.32	0.03	0.14	14.56	0.07	0.00	0.01
2.27	0.33	0.04	0.14	15.03	0.13	0.01	0.01
2.32	0.33	0.04	0.15	14.54	0.07	0.00	0.01
2.37	0.34	0.04	0.15	13.61	0.07	0.00	0.01
2.42	0.35	0.04	0.16	14.07	0.13	0.01	0.01
2.47	0.35	0.04	0.16	14.07	0.00	0.00	0.01
2.52	0.36	0.04	0.16	13.62	0.07	0.00	0.01
2.57	0.37	0.04	0.17	14.08	0.13	0.01	0.01
2.62	0.37	0.04	0.16	13.60	-0.07	-0.00	0.01
2.67	0.38	0.04	0.16	13.10	0.00	0.00	0.01
2.72	0.39	0.05	0.17	12.67	0.07	0.00	0.01
2.77	0.39	0.05	0.17	13.15	0.00	0.00	0.01
2.82	0.40	0.05	0.17	13.13	0.00	0.00	0.01
2.87	0.41	0.05	0.17	11.73	0.07	0.00	0.01
2.92	0.41	0.05	0.17	12.17	0.00	0.00	0.01
2.97	0.42	0.05	0.17	11.74	-0.07	-0.00	0.01
3.02	0.42	0.05	0.17	11.27	0.00	0.00	0.01
3.07	0.43	0.05	0.16	10.79	-0.07	-0.00	0.01
3.13	0.43	0.05	0.17	11.32	0.06	0.00	0.01
3.18	0.44	0.05	0.16	12.55	-0.07	-0.00	0.01
3.23	0.45	0.06	0.16	10.79	-0.07	-0.00	0.01
3.28	0.45	0.06	0.16	11.26	0.00	0.00	0.01
3.33	0.46	0.06	0.16	11.74	-0.07	-0.00	0.01
3.38	0.46	0.06	0.15	11.27	-0.13	-0.01	0.01
3.43	0.47	0.06	0.15	11.74	0.07	0.00	0.01
3.48	0.47	0.06	0.15	11.27	0.00	0.00	0.01
3.53	0.48	0.06	0.15	11.92	0.00	0.00	0.01
3.58	0.49	0.06	0.16	11.74	0.07	0.00	0.01
3.63	0.49	0.06	0.16	11.73	0.07	0.00	0.01
3.68	0.50	0.06	0.16	12.21	0.00	0.00	0.01
3.73	0.50	0.06	0.16	11.26	0.00	0.00	0.01
3.78	0.51	0.07	0.16	11.27	0.00	0.00	0.01
3.83	0.51	0.07	0.17	12.20	0.13	0.01	0.01
3.88	0.52	0.07	0.17	11.27	0.00	0.00	0.01
3.93	0.53	0.07	0.16	11.74	-0.07	-0.00	0.01
3.98	0.53	0.07	0.16	12.21	0.00	0.00	0.01
4.03	0.54	0.07	0.17	11.73	0.07	0.00	0.01
4.08	0.54	0.07	0.16	11.73	-0.07	-0.00	0.01
4.13	0.55	0.07	0.16	11.27	0.00	0.00	0.01
4.18	0.55	0.07	0.16	11.23	0.00	0.00	0.01
4.23	0.56	0.07	0.16	11.24	0.00	0.00	0.01
4.28	0.57	0.07	0.16	11.27	0.00	0.00	0.01
4.33	0.57	0.08	0.16	12.20	0.00	0.00	0.01
