t	x	y	th	v	w	dTh	dSi
5.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.192	0.000	0.000	0.003	0.005	0.067	0.003	0.000
5.245	0.000	-0.000	0.007	-0.004	0.063	0.003	-0.000
5.296	-0.000	-0.000	0.017	-0.005	0.201	0.010	-0.000
5.346	-0.000	-0.000	0.030	0.000	0.268	0.013	0.000
5.396	-0.000	-0.000	0.037	0.000	0.134	0.007	0.000
5.446	0.000	0.000	0.044	0.009	0.134	0.007	0.000
5.496	0.000	0.000	0.054	0.005	0.201	0.010	0.000
5.547	0.000	0.000	0.067	0.000	0.268	0.013	0.000
5.597	0.000	0.000	0.081	0.000	0.269	0.013	0.000
5.647	0.000	0.000	0.094	0.000	0.268	0.013	0.000
5.697	0.000	0.000	0.101	0.000	0.134	0.007	0.000
5.747	0.000	0.000	0.114	0.000	0.267	0.013	0.000
5.798	0.000	0.000	0.128	0.000	0.268	0.013	0.000
5.848	0.000	-0.000	0.138	-0.005	0.201	0.010	-0.000
5.898	0.000	-0.000	0.151	0.000	0.268	0.013	0.000
5.948	0.000	-0.000	0.165	0.000	0.268	0.013	0.000
5.998	0.000	-0.000	0.178	0.000	0.269	0.013	0.000
6.048	0.000	-0.000	0.192	0.000	0.268	0.013	0.000
6.099	0.000	0.000	0.202	0.005	0.201	0.010	0.000
6.149	0.000	0.000	0.215	0.000	0.268	0.013	0.000
6.199	0.000	-0.000	0.226	-0.005	0.201	0.010	-0.000
6.249	0.000	-0.000	0.239	0.000	0.269	0.013	0.000
6.299	0.000	-0.000	0.252	0.000	0.268	0.013	0.000
6.349	0.000	-0.000	0.263	-0.005	0.201	0.010	-0.000
6.400	0.000	-0.000	0.273	0.005	0.201	0.010	0.000
6.450	0.000	-0.000	0.286	0.000	0.268	0.013	0.000
6.500	0.000	-0.000	0.300	0.000	0.268	0.013	0.000
6.550	0.000	-0.000	0.313	0.000	0.268	0.013	0.000
6.600	0.000	0.000	0.323	0.005	0.201	0.010	0.000
6.651	0.000	-0.000	0.337	-0.009	0.268	0.013	-0.000
6.701	0.000	-0.000	0.347	0.005	0.201	0.010	0.000
6.751	-0.000	-0.000	0.360	-0.009	0.268	0.013	-0.000
6.801	0.000	-0.000	0.370	0.005	0.201	0.010	0.000
6.851	0.000	-0.000	0.384	0.000	0.268	0.013	0.000
6.901	0.000	-0.000	0.397	0.000	0.269	0.013	0.000
6.952	0.000	-0.000	0.411	0.000	0.268	0.013	0.000
7.002	0.000	-0.000	0.424	0.000	0.268	0.013	0.000
7.052	0.000	0.000	0.434	0.005	0.201	0.010	0.000
7.102	0.000	0.000	0.448	0.000	0.268	0.013	0.000
7.152	0.000	-0.000	0.458	-0.005	0.201	0.010	-0.000
7.202	0.000	-0.000	0.471	0.000	0.268	0.013	0.000
7.253	0.000	-0.000	0.478	0.000	0.134	0.007	0.000
7.303	-0.000	-0.000	0.495	-0.005	0.335	0.017	-0.000
7.353	0.000	-0.000	0.505	0.005	0.201	0.010	0.000
7.403	0.000	-0.000	0.518	0.000	0.268	0.013	0.000
7.453	0.000	0.000	0.532	0.009	0.268	0.013	0.000
7.504	0.000	0.000	0.542	-0.005	0.201	0.010	-0.000
7.554	0.000	0.000	0.555	0.000	0.268	0.013	0.000
7.604	0.000	0.000	0.569	0.000	0.269	0.013	0.000
7.654	0.000	0.000	0.582	0.000	0.268	0.013	0.000
7.704	0.000	0.000	0.596	0.000	0.268	0.013	0.000
7.754	0.000	0.000	0.609	0.000	0.269	0.013	0.000
7.805	0.000	0.000	0.623	0.000	0.268	0.013	0.000
7.855	0.000	0.000	0.636	0.000	0.269	0.013	0.000
7.905	0.000	0.000	0.646	0.005	0.201	0.010	0.000
7.955	0.000	0.000	0.660	0.000	0.268	0.013	0.000
8.005	0.000	0.000	0.670	-0.005	0.201	0.010	-0.000
8.055	0.000	0.000	0.683	0.000	0.269	0.013	0.000
8.105	0.000	0.000	0.690	0.000	0.134	0.007	0.000
8.156	0.000	0.000	0.703	0.000	0.268	0.013	0.000
8.206	0.000	0.000	0.717	0.000	0.269	0.013	0.000
8.256	0.000	0.000	0.730	0.000	0.268	0.013	0.000
8.306	0.000	0.000	0.744	0.000	0.269	0.013	0.000
8.356	0.000	0.000	0.757	0.000	0.268	0.013	0.000
8.407	0.000	0.000	0.771	0.000	0.264	0.013	0.000
8.458	0.000	0.000	0.781	0.005	0.201	0.010	0.000
8.508	0.000	0.000	0.794	0.000	0.269	0.013	0.000
8.558	0.000	0.000	0.808	0.000	0.268	0.013	0.000
8.608	0.000	0.000	0.818	-0.005	0.201	0.010	-0.000
8.658	0.000	0.000	0.831	0.000	0.268	0.013	0.000
