t	x	y	th	v	w	dTh	dSi
5.047	0.000	0.000	1.571	0.000	0.000	0.000	0.000
5.097	0.000	0.000	1.578	0.000	0.134	0.007	0.000
5.148	-0.000	0.000	1.588	0.005	0.201	0.010	0.000
5.198	-0.000	0.000	1.604	0.005	0.336	0.017	0.000
5.248	-0.000	0.000	1.618	0.000	0.269	0.013	0.000
5.298	0.000	0.000	1.641	-0.005	0.470	0.024	-0.000
5.348	0.000	0.000	1.662	0.000	0.403	0.020	0.000
5.398	-0.000	0.000	1.685	0.005	0.470	0.024	0.000
5.448	-0.000	0.000	1.699	0.000	0.269	0.013	0.000
5.498	-0.000	0.000	1.726	0.000	0.537	0.027	0.000
5.548	-0.000	0.000	1.739	0.000	0.269	0.013	0.000
5.599	-0.000	0.000	1.766	0.000	0.537	0.027	0.000
5.649	-0.000	0.000	1.786	0.000	0.403	0.020	0.000
5.699	-0.000	0.000	1.806	0.000	0.403	0.020	0.000
5.749	-0.000	0.000	1.827	0.000	0.403	0.020	0.000
5.799	-0.000	0.000	1.847	0.000	0.403	0.020	0.000
5.849	-0.000	0.000	1.874	0.000	0.537	0.027	0.000
5.899	-0.000	0.000	1.887	0.000	0.268	0.013	0.000
5.949	-0.000	0.000	1.907	0.000	0.403	0.020	0.000
6.000	-0.000	0.000	1.928	0.000	0.403	0.020	0.000
6.050	-0.000	0.001	1.951	0.005	0.470	0.024	0.000
6.100	-0.000	0.000	1.975	-0.005	0.470	0.024	-0.000
6.150	-0.000	0.000	1.995	0.000	0.402	0.020	0.000
6.200	-0.000	0.000	2.015	0.000	0.402	0.020	0.000
6.251	-0.000	0.000	2.035	0.000	0.402	0.020	0.000
6.301	0.000	0.000	2.052	-0.005	0.335	0.017	-0.000
6.351	-0.000	0.000	2.076	0.005	0.470	0.024	0.000
6.401	0.000	0.000	2.099	-0.005	0.470	0.024	-0.000
6.451	-0.000	0.000	2.116	0.005	0.336	0.017	0.000
6.502	0.000	0.000	2.140	-0.005	0.470	0.024	-0.000
6.552	-0.000	0.000	2.156	0.005	0.335	0.017	0.000
6.602	0.000	0.000	2.180	-0.005	0.470	0.024	-0.000
6.652	-0.000	0.000	2.197	0.005	0.335	0.017	0.000
6.702	-0.000	0.001	2.220	0.005	0.470	0.024	0.000
6.752	0.000	0.000	2.241	-0.009	0.403	0.020	-0.000
6.803	0.000	0.000	2.261	0.000	0.403	0.020	0.000
6.853	0.000	0.000	2.281	0.000	0.403	0.020	0.000
6.903	-0.000	0.000	2.305	0.005	0.469	0.024	0.000
6.953	0.000	0.000	2.321	-0.005	0.336	0.017	-0.000
7.003	-0.000	0.000	2.345	0.005	0.470	0.024	0.000
7.053	0.000	0.000	2.362	-0.005	0.336	0.017	-0.000
7.103	-0.000	0.000	2.385	0.005	0.470	0.024	0.000
7.154	0.000	0.000	2.402	-0.005	0.336	0.017	-0.000
7.204	-0.000	0.000	2.426	0.005	0.469	0.024	0.000
7.254	0.000	0.000	2.449	-0.005	0.470	0.024	-0.000
7.304	0.000	0.000	2.470	0.000	0.403	0.020	0.000
7.354	0.000	0.000	2.490	0.000	0.403	0.020	0.000
7.404	0.000	0.000	2.510	0.000	0.403	0.020	0.000
7.455	0.000	0.000	2.527	-0.005	0.335	0.017	-0.000
7.505	0.000	0.000	2.550	0.005	0.469	0.024	0.000
7.555	0.000	0.000	2.567	-0.005	0.336	0.017	-0.000
7.605	0.000	0.000	2.591	0.005	0.470	0.024	0.000
7.655	0.000	0.000	2.608	-0.005	0.336	0.017	-0.000
7.705	0.000	0.000	2.628	0.000	0.403	0.020	0.000
7.755	0.000	0.000	2.648	0.000	0.403	0.020	0.000
7.806	0.001	-0.000	2.668	-0.009	0.403	0.020	-0.000
7.856	0.001	0.000	2.692	0.005	0.470	0.024	0.000
7.906	0.001	0.000	2.712	0.000	0.403	0.020	0.000
7.956	0.001	0.000	2.732	0.000	0.403	0.020	0.000
8.006	0.001	0.000	2.752	0.000	0.403	0.020	0.000
8.056	0.001	0.000	2.766	0.000	0.268	0.013	0.000
8.107	0.001	-0.000	2.789	-0.005	0.469	0.024	-0.000
8.157	0.001	-0.000	2.809	0.000	0.403	0.020	0.000
8.207	0.001	-0.000	2.830	0.000	0.403	0.020	0.000
8.257	0.001	-0.000	2.850	0.000	0.403	0.020	0.000
