t	x	y	th	v	w	dTh	dSi
5.086	1.400	1.000	1.571	0.000	0.000	0.000	0.000
5.137	1.400	1.004	1.571	0.075	0.000	0.000	0.004
5.187	1.400	1.011	1.578	0.141	0.134	0.007	0.007
5.237	1.400	1.018	1.581	0.146	0.067	0.003	0.007
5.287	1.400	1.027	1.578	0.174	-0.067	-0.003	0.009
5.337	1.400	1.035	1.578	0.169	0.000	0.000	0.008
5.388	1.400	1.044	1.574	0.165	-0.067	-0.003	0.008
5.438	1.400	1.051	1.578	0.155	0.067	0.003	0.008
5.488	1.400	1.059	1.578	0.150	0.000	0.000	0.008
5.538	1.400	1.066	1.578	0.150	0.000	0.000	0.008
5.588	1.400	1.074	1.588	0.146	0.201	0.010	0.007
5.638	1.399	1.082	1.584	0.155	-0.067	-0.003	0.008
5.688	1.399	1.089	1.584	0.150	0.000	0.000	0.008
5.738	1.399	1.096	1.581	0.146	-0.067	-0.003	0.007
5.789	1.399	1.103	1.581	0.141	0.000	0.000	0.007
5.839	1.399	1.110	1.584	0.136	0.067	0.003	0.007
5.889	1.399	1.117	1.581	0.136	-0.067	-0.003	0.007
5.939	1.399	1.123	1.584	0.127	0.067	0.003	0.006
5.989	1.399	1.131	1.584	0.141	0.000	0.000	0.007
6.039	1.399	1.137	1.588	0.136	0.067	0.003	0.007
6.090	1.399	1.144	1.588	0.131	0.000	0.000	0.007
6.140	1.398	1.150	1.584	0.127	-0.067	-0.003	0.006
6.190	1.398	1.157	1.581	0.127	-0.067	-0.003	0.006
6.240	1.398	1.163	1.584	0.127	0.067	0.003	0.006
6.290	1.398	1.169	1.584	0.113	0.000	0.000	0.006
6.341	1.398	1.175	1.581	0.126	-0.067	-0.003	0.006
6.391	1.398	1.181	1.581	0.122	0.000	0.000	0.006
6.441	1.398	1.187	1.578	0.117	-0.067	-0.003	0.006
6.491	1.398	1.193	1.578	0.113	0.000	0.000	0.006
6.541	1.398	1.199	1.574	0.117	-0.067	-0.003	0.006
6.592	1.398	1.204	1.574	0.113	0.000	0.000	0.006
6.642	1.398	1.210	1.571	0.117	-0.067	-0.003	0.006
6.692	1.398	1.216	1.574	0.108	0.067	0.003	0.005
6.742	1.398	1.221	1.571	0.108	-0.067	-0.003	0.005
6.792	1.398	1.227	1.571	0.113	0.000	0.000	0.006
6.842	1.398	1.232	1.574	0.108	0.067	0.003	0.005
6.892	1.398	1.238	1.574	0.113	0.000	0.000	0.006
6.943	1.398	1.243	1.578	0.099	0.067	0.003	0.005
6.993	1.398	1.248	1.578	0.113	0.000	0.000	0.006
7.043	1.398	1.253	1.581	0.099	0.067	0.003	0.005
7.093	1.398	1.258	1.581	0.103	0.000	0.000	0.005
7.143	1.398	1.263	1.581	0.094	0.000	0.000	0.005
7.193	1.398	1.268	1.581	0.103	0.000	0.000	0.005
7.243	1.398	1.273	1.581	0.094	0.000	0.000	0.005
7.294	1.398	1.278	1.581	0.094	0.000	0.000	0.005
7.344	1.398	1.282	1.584	0.089	0.067	0.003	0.004
7.394	1.397	1.287	1.584	0.094	0.000	0.000	0.005
7.444	1.397	1.292	1.584	0.094	0.000	0.000	0.005
7.494	1.397	1.296	1.581	0.089	-0.067	-0.003	0.004
7.544	1.397	1.301	1.584	0.089	0.067	0.003	0.004
7.594	1.397	1.305	1.584	0.094	0.000	0.000	0.005
7.645	1.397	1.309	1.581	0.080	-0.067	-0.003	0.004
7.695	1.397	1.314	1.581	0.094	0.000	0.000	0.005
7.745	1.397	1.318	1.584	0.080	0.067	0.003	0.004
7.795	1.397	1.322	1.584	0.085	0.000	0.000	0.004
7.845	1.397	1.326	1.581	0.080	-0.067	-0.003	0.004
7.895	1.397	1.331	1.588	0.085	0.134	0.007	0.004
7.945	1.397	1.335	1.584	0.080	-0.067	-0.003	0.004
7.996	1.397	1.338	1.584	0.075	0.000	0.000	0.004
8.046	1.397	1.342	1.584	0.075	0.000	0.000	0.004
8.096	1.397	1.346	1.581	0.080	-0.067	-0.003	0.004
8.146	1.397	1.350	1.581	0.075	0.000	0.000	0.004
8.196	1.397	1.353	1.578	0.070	-0.067	-0.003	0.004
8.247	1.397	1.357	1.574	0.070	-0.067	-0.003	0.004
8.297	1.397	1.361	1.574	0.075	0.000	0.000	0.004
8.347	1.397	1.364	1.574	0.075	0.000	0.000	0.004
8.397	1.397	1.368	1.571	0.071	-0.067	-0.003	0.004
8.448	1.397	1.372	1.571	0.075	0.000	0.000	0.004
8.498	1.397	1.375	1.571	0.066	0.000	0.000	0.003
8.548	1.397	1.378	1.571	0.066	0.000	0.000	0.003
8.598	1.397	1.382	1.571	0.066	0.000	0.000	0.003
8.648	1.397	1.385	1.567	0.071	-0.067	-0.003	0.004
8.698	1.397	1.389	1.567	0.066	0.000	0.000	0.003
8.748	1.397	1.392	1.571	0.071	0.067	0.003	0.004
8.798	1.397	1.395	1.574	0.061	0.067	0.003	0.003
8.848	1.397	1.398	1.567	0.066	-0.134	-0.007	0.003
8.899	1.397	1.401	1.571	0.061	0.067	0.003	0.003
8.949	1.397	1.404	1.571	0.056	0.000	0.000	0.003
8.999	1.397	1.405	1.554	0.024	-0.336	-0.017	0.001
9.049	1.397	1.407	1.544	0.033	-0.202	-0.010	0.002
9.099	1.397	1.413	1.537	0.122	-0.134	-0.007	0.006
9.149	1.397	1.421	1.537	0.150	0.000	0.000	0.008
9.199	1.397	1.429	1.537	0.169	0.000	0.000	0.008
9.249	1.398	1.438	1.530	0.179	-0.134	-0.007	0.009
9.300	1.398	1.447	1.530	0.169	0.000	0.000	0.008
9.350	1.398	1.454	1.530	0.150	0.000	0.000	0.008
9.400	1.399	1.461	1.537	0.141	0.134	0.007	0.007
9.450	1.399	1.469	1.537	0.150	0.000	0.000	0.008
9.500	1.399	1.477	1.534	0.155	-0.067	-0.003	0.008
9.551	1.399	1.484	1.534	0.150	0.000	0.000	0.008
9.601	1.400	1.491	1.537	0.146	0.067	0.003	0.007
9.651	1.400	1.498	1.541	0.136	0.067	0.003	0.007
9.701	1.400	1.506	1.537	0.146	-0.067	-0.003	0.007
9.751	1.400	1.513	1.537	0.141	0.000	0.000	0.007
9.801	1.401	1.519	1.534	0.136	-0.067	-0.003	0.007
9.852	1.401	1.526	1.527	0.132	-0.134	-0.007	0.007
9.902	1.401	1.533	1.527	0.131	0.000	0.000	0.007
9.952	1.401	1.539	1.527	0.131	0.000	0.000	0.007
10.002	1.402	1.546	1.527	0.132	0.000	0.000	0.007
10.052	1.402	1.552	1.520	0.132	-0.134	-0.007	0.007
10.102	1.402	1.559	1.520	0.131	0.000	0.000	0.007
10.153	1.403	1.565	1.524	0.117	0.067	0.003	0.006
10.203	1.403	1.571	1.524	0.122	0.000	0.000	0.006
10.253	1.403	1.577	1.524	0.122	0.000	0.000	0.006
10.303	1.404	1.583	1.527	0.127	0.067	0.003	0.006
10.354	1.404	1.590	1.530	0.126	0.067	0.003	0.006
10.404	1.404	1.596	1.530	0.122	0.000	0.000	0.006
10.454	1.404	1.602	1.534	0.117	0.067	0.003	0.006
10.504	1.405	1.607	1.534	0.113	0.000	0.000	0.006
10.554	1.405	1.613	1.534	0.113	0.000	0.000	0.006
10.605	1.405	1.619	1.537	0.108	0.067	0.003	0.005
10.655	1.405	1.624	1.537	0.113	0.000	0.000	0.006
10.705	1.405	1.629	1.537	0.103	0.000	0.000	0.005
10.755	1.405	1.635	1.537	0.113	0.000	0.000	0.006
10.805	1.406	1.640	1.534	0.108	-0.067	-0.003	0.005
10.855	1.406	1.646	1.534	0.103	0.000	0.000	0.005
10.906	1.406	1.651	1.534	0.103	0.000	0.000	0.005
10.956	1.406	1.656	1.537	0.099	0.067	0.003	0.005
11.006	1.406	1.661	1.541	0.099	0.067	0.003	0.005
11.056	1.407	1.666	1.537	0.099	-0.067	-0.003	0.005
11.106	1.407	1.670	1.537	0.094	0.000	0.000	0.005
11.156	1.407	1.675	1.534	0.099	-0.067	-0.003	0.005
11.207	1.407	1.680	1.537	0.099	0.067	0.003	0.005
11.257	1.407	1.685	1.534	0.099	-0.067	-0.003	0.005
11.307	1.407	1.689	1.534	0.085	0.000	0.000	0.004
11.357	1.408	1.694	1.534	0.094	0.000	0.000	0.005
11.407	1.408	1.698	1.527	0.085	-0.134	-0.007	0.004
11.457	1.408	1.703	1.527	0.085	0.000	0.000	0.004
11.508	1.408	1.707	1.524	0.089	-0.067	-0.003	0.004
11.558	1.408	1.712	1.524	0.094	0.000	0.000	0.005
11.608	1.409	1.716	1.524	0.085	0.000	0.000	0.004
11.658	1.409	1.720	1.520	0.080	-0.067	-0.003	0.004
11.708	1.409	1.724	1.520	0.085	0.000	0.000	0.004
11.759	1.409	1.729	1.520	0.084	0.000	0.000	0.004
11.809	1.409	1.733	1.524	0.080	0.067	0.003	0.004
11.859	1.410	1.737	1.520	0.080	-0.067	-0.003	0.004
11.909	1.410	1.741	1.524	0.080	0.067	0.003	0.004
11.959	1.410	1.745	1.527	0.080	0.067	0.003	0.004
12.009	1.410	1.749	1.527	0.085	0.000	0.000	0.004
12.059	1.410	1.753	1.527	0.075	0.000	0.000	0.004
12.110	1.410	1.757	1.530	0.080	0.067	0.003	0.004
12.160	1.411	1.760	1.530	0.075	0.000	0.000	0.004
12.210	1.411	1.764	1.534	0.070	0.067	0.003	0.004
12.260	1.411	1.768	1.534	0.075	0.000	0.000	0.004
12.310	1.411	1.771	1.534	0.066	0.000	0.000	0.003
12.360	1.411	1.774	1.530	0.070	-0.067	-0.003	0.004
12.411	1.411	1.778	1.534	0.070	0.067	0.003	0.004
12.461	1.411	1.781	1.534	0.066	0.000	0.000	0.003
12.511	1.412	1.785	1.534	0.066	0.000	0.000	0.003
12.561	1.412	1.788	1.537	0.070	0.067	0.003	0.004
12.611	1.412	1.791	1.534	0.061	-0.067	-0.003	0.003
12.662	1.412	1.794	1.534	0.066	0.000	0.000	0.003
12.712	1.412	1.798	1.534	0.066	0.000	0.000	0.003
12.762	1.412	1.801	1.537	0.070	0.067	0.003	0.004
12.812	1.412	1.804	1.544	0.047	0.134	0.007	0.002
12.862	1.412	1.804	1.561	0.014	0.335	0.017	0.001
12.913	1.412	1.805	1.578	0.014	0.336	0.017	0.001
12.963	1.412	1.805	1.598	0.000	0.403	0.020	0.000
13.013	1.412	1.805	1.618	0.000	0.403	0.020	0.000
13.063	1.412	1.807	1.641	0.033	0.470	0.024	0.002
13.113	1.412	1.813	1.655	0.131	0.268	0.013	0.007
13.163	1.411	1.821	1.665	0.146	0.201	0.010	0.007
13.214	1.410	1.829	1.675	0.164	0.201	0.010	0.008
13.264	1.409	1.837	1.679	0.164	0.067	0.003	0.008
13.314	1.408	1.845	1.675	0.164	-0.067	-0.003	0.008
13.364	1.408	1.852	1.679	0.146	0.067	0.003	0.007
13.414	1.407	1.860	1.675	0.145	-0.067	-0.003	0.007
13.464	1.406	1.867	1.672	0.146	-0.067	-0.003	0.007
13.515	1.405	1.875	1.665	0.160	-0.134	-0.007	0.008
13.565	1.405	1.882	1.665	0.150	0.000	0.000	0.008
13.615	1.404	1.890	1.665	0.150	0.000	0.000	0.008
13.665	1.403	1.897	1.662	0.146	-0.067	-0.003	0.007
13.715	1.403	1.904	1.668	0.141	0.134	0.007	0.007
13.765	1.402	1.911	1.665	0.146	-0.067	-0.003	0.007
13.816	1.401	1.919	1.672	0.141	0.134	0.007	0.007
13.866	1.400	1.926	1.672	0.141	0.000	0.000	0.007
13.916	1.400	1.932	1.675	0.136	0.067	0.003	0.007
13.966	1.399	1.939	1.675	0.131	0.000	0.000	0.007
14.016	1.398	1.945	1.675	0.132	0.000	0.000	0.007
14.066	1.398	1.952	1.679	0.127	0.067	0.003	0.006
14.117	1.397	1.958	1.675	0.127	-0.067	-0.003	0.006
14.167	1.396	1.964	1.679	0.127	0.067	0.003	0.006
14.217	1.396	1.971	1.679	0.122	0.000	0.000	0.006
14.267	1.395	1.977	1.679	0.122	0.000	0.000	0.006
14.317	1.394	1.983	1.679	0.122	0.000	0.000	0.006
14.367	1.394	1.989	1.675	0.117	-0.067	-0.003	0.006
14.418	1.393	1.995	1.675	0.122	0.000	0.000	0.006
14.468	1.392	2.001	1.679	0.117	0.067	0.003	0.006
14.518	1.392	2.006	1.675	0.108	-0.067	-0.003	0.005
14.568	1.391	2.011	1.679	0.108	0.067	0.003	0.005
14.618	1.391	2.017	1.675	0.108	-0.067	-0.003	0.005
14.668	1.390	2.022	1.675	0.113	0.000	0.000	0.006
14.719	1.390	2.027	1.668	0.103	-0.134	-0.007	0.005
14.769	1.389	2.033	1.668	0.113	0.000	0.000	0.006
14.819	1.389	2.038	1.668	0.103	0.000	0.000	0.005
14.869	1.388	2.044	1.665	0.108	-0.067	-0.003	0.005
14.919	1.388	2.049	1.665	0.103	0.000	0.000	0.005
14.969	1.387	2.054	1.665	0.103	0.000	0.000	0.005
15.020	1.387	2.059	1.662	0.099	-0.067	-0.003	0.005
15.070	1.386	2.064	1.658	0.099	-0.067	-0.003	0.005
15.120	1.386	2.069	1.662	0.099	0.067	0.003	0.005
15.170	1.385	2.074	1.668	0.103	0.134	0.007	0.005
15.220	1.385	2.079	1.668	0.103	0.000	0.000	0.005
15.270	1.384	2.084	1.668	0.094	0.000	0.000	0.005
15.321	1.384	2.088	1.668	0.094	0.000	0.000	0.005
15.371	1.383	2.093	1.672	0.089	0.067	0.003	0.004
15.421	1.383	2.097	1.675	0.089	0.067	0.003	0.004
15.471	1.382	2.102	1.675	0.094	0.000	0.000	0.005
15.521	1.382	2.106	1.675	0.085	0.000	0.000	0.004
15.571	1.382	2.111	1.672	0.089	-0.067	-0.003	0.004
15.621	1.381	2.115	1.679	0.085	0.134	0.007	0.004
15.672	1.381	2.119	1.675	0.089	-0.067	-0.003	0.004
15.722	1.380	2.124	1.675	0.085	0.000	0.000	0.004
15.772	1.380	2.128	1.672	0.080	-0.067	-0.003	0.004
15.822	1.379	2.132	1.679	0.085	0.134	0.007	0.004
15.872	1.379	2.136	1.675	0.080	-0.067	-0.003	0.004
15.922	1.379	2.140	1.675	0.075	0.000	0.000	0.004
15.973	1.378	2.144	1.679	0.080	0.067	0.003	0.004
16.023	1.378	2.148	1.675	0.080	-0.067	-0.003	0.004
16.073	1.377	2.151	1.675	0.075	0.000	0.000	0.004
16.123	1.377	2.155	1.679	0.080	0.067	0.003	0.004
16.173	1.376	2.159	1.675	0.080	-0.067	-0.003	0.004
16.223	1.376	2.163	1.679	0.070	0.067	0.003	0.004
16.274	1.376	2.166	1.675	0.070	-0.067	-0.003	0.004
16.324	1.375	2.170	1.679	0.070	0.067	0.003	0.004
16.374	1.375	2.173	1.675	0.070	-0.067	-0.003	0.004
16.424	1.375	2.177	1.679	0.070	0.067	0.003	0.004
16.474	1.374	2.180	1.675	0.070	-0.067	-0.003	0.004
16.524	1.374	2.184	1.679	0.070	0.067	0.003	0.004
16.575	1.373	2.187	1.679	0.066	0.000	0.000	0.003
16.625	1.373	2.191	1.675	0.070	-0.067	-0.003	0.004
16.675	1.373	2.194	1.675	0.066	0.000	0.000	0.003
16.725	1.372	2.197	1.668	0.066	-0.134	-0.007	0.003
16.775	1.372	2.201	1.668	0.075	0.000	0.000	0.004
16.826	1.372	2.204	1.665	0.061	-0.067	-0.003	0.003
16.876	1.372	2.205	1.648	0.023	-0.336	-0.017	0.001
16.926	1.372	2.205	1.625	0.005	-0.470	-0.024	0.000
16.976	1.372	2.206	1.608	0.014	-0.336	-0.017	0.001
17.026	1.372	2.206	1.584	-0.005	-0.470	-0.024	-0.000
17.076	1.372	2.206	1.561	0.005	-0.470	-0.024	0.000
17.127	1.372	2.206	1.537	0.005	-0.470	-0.024	0.000
17.177	1.372	2.207	1.514	0.005	-0.470	-0.024	0.000
17.227	1.372	2.206	1.490	-0.005	-0.470	-0.024	-0.000
17.277	1.372	2.208	1.470	0.028	-0.403	-0.020	0.001
17.327	1.372	2.214	1.460	0.127	-0.201	-0.010	0.006
17.377	1.373	2.221	1.450	0.146	-0.201	-0.010	0.007
17.427	1.374	2.230	1.443	0.169	-0.134	-0.007	0.008
17.478	1.375	2.238	1.443	0.169	0.000	0.000	0.008
17.528	1.376	2.247	1.443	0.169	0.000	0.000	0.008
17.578	1.378	2.255	1.443	0.160	0.000	0.000	0.008
17.628	1.378	2.262	1.446	0.146	0.067	0.003	0.007
17.678	1.379	2.269	1.446	0.150	0.000	0.000	0.008
17.728	1.380	2.277	1.450	0.155	0.067	0.003	0.008
17.778	1.381	2.284	1.450	0.150	0.000	0.000	0.008
17.829	1.382	2.291	1.450	0.141	0.000	0.000	0.007
17.879	1.383	2.299	1.453	0.146	0.067	0.003	0.007
17.929	1.384	2.305	1.450	0.136	-0.067	-0.003	0.007
17.979	1.385	2.313	1.453	0.145	0.067	0.003	0.007
18.029	1.385	2.320	1.450	0.136	-0.067	-0.003	0.007
18.079	1.386	2.326	1.453	0.136	0.067	0.003	0.007
18.130	1.387	2.333	1.456	0.136	0.067	0.003	0.007
18.180	1.388	2.340	1.456	0.132	0.000	0.000	0.007
18.230	1.389	2.346	1.456	0.132	0.000	0.000	0.007
18.280	1.389	2.353	1.453	0.127	-0.067	-0.003	0.006
18.330	1.390	2.359	1.450	0.127	-0.067	-0.003	0.006
18.380	1.391	2.365	1.453	0.127	0.067	0.003	0.006
18.430	1.392	2.371	1.446	0.122	-0.134	-0.007	0.006
18.481	1.392	2.378	1.443	0.127	-0.067	-0.003	0.006
18.531	1.393	2.383	1.443	0.113	0.000	0.000	0.006
18.581	1.394	2.389	1.443	0.122	0.000	0.000	0.006
18.631	1.395	2.395	1.440	0.118	-0.067	-0.003	0.006
18.681	1.395	2.401	1.440	0.113	0.000	0.000	0.006
18.731	1.396	2.407	1.443	0.118	0.067	0.003	0.006
18.781	1.397	2.412	1.446	0.117	0.067	0.003	0.006
18.832	1.398	2.418	1.446	0.113	0.000	0.000	0.006
18.882	1.398	2.424	1.446	0.113	0.000	0.000	0.006
18.932	1.399	2.429	1.446	0.103	0.000	0.000	0.005
18.982	1.400	2.434	1.450	0.108	0.067	0.003	0.005
19.032	1.400	2.439	1.446	0.108	-0.067	-0.003	0.005
19.082	1.401	2.445	1.450	0.108	0.067	0.003	0.005
19.132	1.402	2.450	1.450	0.103	0.000	0.000	0.005
19.182	1.402	2.455	1.450	0.103	0.000	0.000	0.005
19.233	1.403	2.460	1.450	0.094	0.000	0.000	0.005
19.283	1.403	2.465	1.453	0.099	0.067	0.003	0.005
19.333	1.404	2.470	1.453	0.103	0.000	0.000	0.005
19.383	1.404	2.475	1.453	0.094	0.000	0.000	0.005
19.433	1.405	2.479	1.450	0.099	-0.067	-0.003	0.005
19.483	1.406	2.484	1.450	0.094	0.000	0.000	0.005
19.533	1.406	2.489	1.450	0.094	0.000	0.000	0.005
19.584	1.407	2.493	1.450	0.085	0.000	0.000	0.004
19.634	1.407	2.498	1.450	0.094	0.000	0.000	0.005
19.684	1.408	2.502	1.450	0.085	0.000	0.000	0.004
19.734	1.408	2.506	1.453	0.089	0.067	0.003	0.004
19.784	1.409	2.511	1.453	0.094	0.000	0.000	0.005
19.834	1.409	2.515	1.450	0.080	-0.067	-0.003	0.004
19.885	1.410	2.519	1.453	0.089	0.067	0.003	0.004
19.935	1.410	2.524	1.453	0.085	0.000	0.000	0.004
19.985	1.411	2.528	1.450	0.080	-0.067	-0.003	0.004
20.035	1.411	2.532	1.450	0.085	0.000	0.000	0.004
20.085	1.412	2.536	1.446	0.080	-0.067	-0.003	0.004
20.135	1.412	2.540	1.446	0.075	0.000	0.000	0.004
20.186	1.413	2.543	1.446	0.075	0.000	0.000	0.004
20.236	1.413	2.547	1.440	0.075	-0.134	-0.007	0.004
20.286	1.414	2.551	1.443	0.080	0.067	0.003	0.004
20.336	1.414	2.555	1.443	0.075	0.000	0.000	0.004
20.386	1.415	2.558	1.440	0.070	-0.067	-0.003	0.004
20.437	1.415	2.562	1.440	0.075	0.000	0.000	0.004
20.487	1.416	2.566	1.436	0.070	-0.067	-0.003	0.004
20.537	1.416	2.569	1.436	0.075	0.000	0.000	0.004
20.587	1.417	2.573	1.440	0.070	0.067	0.003	0.004
20.637	1.417	2.577	1.440	0.075	0.000	0.000	0.004
20.687	1.418	2.580	1.443	0.070	0.067	0.003	0.004
20.738	1.418	2.583	1.443	0.066	0.000	0.000	0.003
20.788	1.418	2.587	1.443	0.066	0.000	0.000	0.003
20.838	1.419	2.590	1.446	0.070	0.067	0.003	0.004
20.888	1.419	2.594	1.443	0.070	-0.067	-0.003	0.004
20.938	1.420	2.597	1.443	0.066	0.000	0.000	0.003
20.988	1.420	2.600	1.446	0.070	0.067	0.003	0.004
21.038	1.421	2.603	1.446	0.056	0.000	0.000	0.003
21.089	1.421	2.605	1.466	0.028	0.402	0.020	0.001
21.139	1.421	2.605	1.480	0.009	0.268	0.013	0.000
21.189	1.421	2.605	1.503	0.005	0.470	0.024	0.000
21.239	1.421	2.605	1.527	-0.005	0.470	0.024	-0.000
21.289	1.421	2.606	1.547	0.009	0.403	0.020	0.000
21.339	1.421	2.606	1.571	0.005	0.470	0.024	0.000
21.390	1.421	2.606	1.598	0.000	0.537	0.027	0.000
21.440	1.421	2.606	1.625	0.000	0.536	0.027	0.000
21.490	1.421	2.606	1.648	0.005	0.470	0.024	0.000
21.540	1.421	2.606	1.675	0.000	0.537	0.027	0.000
21.590	1.421	2.606	1.699	-0.005	0.470	0.024	-0.000
21.640	1.421	2.606	1.726	0.000	0.537	0.027	0.000
21.691	1.421	2.606	1.753	0.000	0.537	0.027	0.000
21.741	1.421	2.606	1.776	-0.005	0.470	0.024	-0.000
21.791	1.421	2.606	1.803	0.000	0.537	0.027	0.000
