t	x	y	th	v	w	dTh	dSi
3.033	0.000	0.820	0.000	0.000	0.000	0.000	0.000
3.084	0.003	0.820	0.000	0.056	0.000	0.000	0.003
3.134	0.009	0.820	0.003	0.127	0.067	0.003	0.006
3.184	0.017	0.820	0.010	0.160	0.134	0.007	0.008
3.234	0.026	0.820	0.010	0.169	0.000	0.000	0.008
3.284	0.034	0.820	0.007	0.174	-0.067	-0.003	0.009
3.334	0.042	0.820	-0.000	0.160	-0.134	-0.007	0.008
3.384	0.050	0.820	-0.003	0.146	-0.067	-0.003	0.007
3.434	0.057	0.820	-0.000	0.146	0.067	0.003	0.007
3.484	0.065	0.820	0.003	0.155	0.067	0.003	0.008
3.535	0.072	0.820	-0.000	0.146	-0.067	-0.003	0.007
3.585	0.079	0.820	0.000	0.141	0.000	0.000	0.007
3.635	0.087	0.820	0.000	0.150	0.000	0.000	0.008
3.685	0.093	0.820	0.007	0.132	0.134	0.007	0.007
3.735	0.101	0.820	0.003	0.146	-0.067	-0.003	0.007
3.785	0.108	0.820	0.007	0.146	0.067	0.003	0.007
3.835	0.115	0.820	0.007	0.141	0.000	0.000	0.007
3.885	0.122	0.820	0.007	0.141	0.000	0.000	0.007
3.936	0.129	0.821	0.010	0.136	0.067	0.003	0.007
3.986	0.135	0.821	0.010	0.132	0.000	0.000	0.007
4.036	0.142	0.821	0.007	0.127	-0.067	-0.003	0.006
4.086	0.148	0.821	0.007	0.132	0.000	0.000	0.007
4.136	0.155	0.821	0.007	0.132	0.000	0.000	0.007
4.186	0.161	0.821	0.010	0.127	0.067	0.003	0.006
4.236	0.168	0.821	0.007	0.127	-0.067	-0.003	0.006
4.287	0.174	0.821	0.007	0.122	0.000	0.000	0.006
4.337	0.180	0.821	0.007	0.122	0.000	0.000	0.006
4.387	0.186	0.821	0.010	0.117	0.067	0.003	0.006
4.437	0.192	0.821	0.010	0.113	0.000	0.000	0.006
4.487	0.197	0.821	0.007	0.117	-0.067	-0.003	0.006
4.537	0.203	0.821	0.003	0.117	-0.067	-0.003	0.006
4.587	0.209	0.821	-0.000	0.117	-0.067	-0.003	0.006
4.638	0.214	0.821	0.000	0.103	0.000	0.000	0.005
4.688	0.220	0.821	-0.003	0.108	-0.067	-0.003	0.005
4.738	0.225	0.821	-0.000	0.108	0.067	0.003	0.005
4.788	0.231	0.821	0.000	0.113	0.000	0.000	0.006
4.838	0.236	0.821	0.000	0.103	0.000	0.000	0.005
4.888	0.242	0.821	-0.003	0.108	-0.067	-0.003	0.005
4.938	0.247	0.821	-0.000	0.108	0.067	0.003	0.005
4.989	0.252	0.821	-0.003	0.099	-0.067	-0.003	0.005
5.039	0.257	0.821	-0.000	0.099	0.067	0.003	0.005
5.089	0.262	0.821	0.000	0.103	0.000	0.000	0.005
5.139	0.267	0.821	0.003	0.099	0.067	0.003	0.005
5.189	0.272	0.821	0.007	0.099	0.067	0.003	0.005
5.239	0.277	0.821	0.003	0.099	-0.067	-0.003	0.005
5.289	0.282	0.821	0.007	0.099	0.067	0.003	0.005
5.340	0.287	0.821	0.007	0.094	0.000	0.000	0.005
5.390	0.291	0.821	0.010	0.099	0.067	0.003	0.005
5.440	0.296	0.821	0.010	0.094	0.000	0.000	0.005
5.490	0.301	0.821	0.007	0.089	-0.067	-0.003	0.004
