t	x	y	th	v	w	dTh	dSi
0.223	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.323	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.374	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.424	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.474	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.524	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.574	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.624	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.725	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.775	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.825	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.925	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.975	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.176	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.326	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.376	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.426	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.477	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.577	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.627	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.677	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.727	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.777	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.828	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.878	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.928	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.978	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.178	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.229	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.379	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.479	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.529	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.580	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.630	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.680	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.780	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.830	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.880	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.931	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.981	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.131	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.181	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.231	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.281	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.332	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.382	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.432	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.482	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.532	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.582	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.632	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.683	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.733	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.783	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.833	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.883	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.933	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.983	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.285	0.000	0.000	0.013	0.000	0.268	0.013	0.000
4.335	-0.000	-0.000	0.050	-0.005	0.738	0.037	-0.000
4.385	-0.000	0.000	0.094	0.005	0.872	0.044	0.000
4.435	-0.000	0.000	0.148	0.000	1.074	0.054	0.000
4.485	-0.000	-0.000	0.192	-0.005	0.872	0.044	-0.000
4.535	-0.000	-0.000	0.246	0.000	1.074	0.054	0.000
4.585	-0.000	-0.000	0.300	0.000	1.074	0.054	0.000
4.636	-0.000	-0.000	0.350	-0.005	1.007	0.050	-0.000
4.686	-0.001	-0.000	0.401	-0.005	1.006	0.050	-0.000
4.736	-0.000	-0.000	0.451	0.005	1.007	0.050	0.000
4.786	-0.000	-0.000	0.505	0.000	1.073	0.054	0.000
4.836	-0.000	0.000	0.555	0.005	1.007	0.050	0.000
4.886	-0.000	0.000	0.609	0.000	1.075	0.054	0.000
4.936	-0.000	0.000	0.656	0.000	0.940	0.047	0.000
4.987	-0.000	0.000	0.710	0.000	1.074	0.054	0.000
5.037	-0.000	0.000	0.764	0.000	1.075	0.054	0.000
5.087	-0.000	0.000	0.811	0.000	0.940	0.047	0.000
5.137	-0.000	0.000	0.865	0.000	1.074	0.054	0.000
5.187	-0.000	0.000	0.919	0.000	1.074	0.054	0.000
5.237	-0.000	0.000	0.966	0.000	0.940	0.047	0.000
5.287	-0.000	0.000	1.020	0.000	1.075	0.054	0.000
5.338	-0.000	0.000	1.070	0.005	1.007	0.050	0.000
5.388	-0.000	0.000	1.124	0.000	1.074	0.054	0.000
5.438	-0.000	0.000	1.178	0.000	1.075	0.054	0.000
5.488	-0.000	0.000	1.229	0.005	1.008	0.050	0.000
5.538	-0.000	0.000	1.279	-0.005	1.007	0.050	-0.000
5.588	-0.000	0.000	1.330	0.005	1.007	0.050	0.000
5.638	-0.000	0.000	1.383	0.000	1.074	0.054	0.000
5.688	-0.000	0.000	1.437	0.000	1.074	0.054	0.000
5.739	-0.000	0.000	1.491	0.000	1.075	0.054	0.000
5.789	-0.000	0.000	1.545	0.000	1.074	0.054	0.000
5.839	-0.000	0.001	1.595	0.005	1.006	0.050	0.000
t	x	y	th	v	w	dTh	dSi
