t	x	y	th	v	w	dTh	dSi
5.052	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.102	0.600	2.600	-1.578	0.000	-0.134	-0.007	0.000
5.152	0.600	2.600	-1.615	0.005	-0.738	-0.037	0.000
5.202	0.600	2.600	-1.645	-0.005	-0.604	-0.030	-0.000
5.252	0.600	2.600	-1.679	-0.009	-0.671	-0.034	-0.000
5.303	0.600	2.601	-1.712	-0.009	-0.671	-0.034	-0.000
5.353	0.600	2.601	-1.746	0.000	-0.671	-0.034	0.000
5.403	0.600	2.601	-1.790	-0.005	-0.873	-0.044	-0.000
5.453	0.600	2.601	-1.823	0.000	-0.671	-0.034	0.000
5.503	0.600	2.601	-1.864	0.000	-0.805	-0.040	0.000
5.553	0.600	2.601	-1.904	0.000	-0.805	-0.040	0.000
5.604	0.600	2.601	-1.941	0.005	-0.738	-0.037	0.000
5.654	0.600	2.601	-1.981	0.000	-0.805	-0.040	0.000
5.704	0.600	2.601	-2.015	0.000	-0.670	-0.034	0.000
5.754	0.600	2.601	-2.055	0.000	-0.805	-0.040	0.000
5.804	0.600	2.601	-2.093	-0.005	-0.738	-0.037	-0.000
5.854	0.600	2.601	-2.130	0.005	-0.738	-0.037	0.000
5.905	0.600	2.601	-2.170	0.000	-0.805	-0.040	0.000
5.955	0.600	2.601	-2.207	0.005	-0.738	-0.037	0.000
6.005	0.600	2.601	-2.241	-0.009	-0.671	-0.034	-0.000
6.055	0.600	2.601	-2.288	0.009	-0.939	-0.047	0.000
6.105	0.600	2.601	-2.328	0.000	-0.805	-0.040	0.000
6.155	0.600	2.601	-2.369	0.000	-0.806	-0.040	0.000
6.205	0.600	2.601	-2.409	0.000	-0.805	-0.040	0.000
6.256	0.600	2.601	-2.446	-0.005	-0.738	-0.037	-0.000
6.306	0.600	2.601	-2.486	0.000	-0.805	-0.040	0.000
6.356	0.600	2.601	-2.527	0.000	-0.805	-0.040	0.000
6.406	0.600	2.601	-2.567	0.000	-0.805	-0.040	0.000
6.456	0.600	2.601	-2.604	-0.005	-0.738	-0.037	-0.000
6.506	0.600	2.601	-2.641	0.005	-0.738	-0.037	0.000
6.556	0.600	2.601	-2.682	0.000	-0.806	-0.040	0.000
6.607	0.600	2.601	-2.719	0.005	-0.738	-0.037	0.000
6.657	0.600	2.601	-2.756	-0.005	-0.738	-0.037	-0.000
6.707	0.600	2.601	-2.793	-0.005	-0.738	-0.037	-0.000
6.757	0.600	2.601	-2.833	0.000	-0.806	-0.040	0.000
6.807	0.600	2.601	-2.870	0.005	-0.738	-0.037	0.000
6.857	0.600	2.601	-2.907	-0.005	-0.738	-0.037	-0.000
6.907	0.601	2.601	-2.944	-0.005	-0.738	-0.037	-0.000
6.958	0.600	2.601	-2.981	0.005	-0.738	-0.037	0.000
7.008	0.600	2.601	-3.022	0.000	-0.805	-0.040	0.000
7.058	0.600	2.601	-3.062	0.000	-0.806	-0.040	0.000
7.108	0.600	2.601	-3.102	0.000	-0.805	-0.040	0.000
7.158	0.600	2.601	3.140	0.000	-0.805	-0.040	0.000
7.208	0.598	2.601	3.120	0.047	-0.403	-0.020	0.002
7.259	0.592	2.601	3.130	0.127	0.201	0.010	0.006
7.309	0.584	2.601	3.137	0.150	0.134	0.007	0.008
7.359	0.576	2.601	-3.129	0.164	0.336	0.017	0.008
7.409	0.568	2.601	-3.106	0.164	0.470	0.024	0.008
7.459	0.559	2.601	-3.082	0.164	0.470	0.024	0.008
7.509	0.552	2.600	-3.065	0.155	0.336	0.017	0.008
7.559	0.544	2.599	-3.045	0.150	0.403	0.020	0.008
7.610	0.536	2.599	-3.025	0.160	0.403	0.020	0.008
7.660	0.528	2.598	-3.001	0.155	0.470	0.024	0.008
7.710	0.521	2.596	-2.985	0.155	0.336	0.017	0.008
7.760	0.513	2.595	-2.968	0.155	0.336	0.017	0.008
7.810	0.506	2.594	-2.947	0.150	0.403	0.020	0.008
7.860	0.498	2.592	-2.927	0.150	0.403	0.020	0.008
7.910	0.490	2.590	-2.907	0.160	0.403	0.020	0.008
7.961	0.483	2.589	-2.887	0.150	0.403	0.020	0.008
8.011	0.475	2.587	-2.867	0.160	0.403	0.020	0.008
8.061	0.468	2.584	-2.853	0.160	0.268	0.013	0.008
8.111	0.460	2.582	-2.830	0.155	0.470	0.024	0.008
8.161	0.453	2.580	-2.816	0.150	0.268	0.013	0.008
8.211	0.446	2.577	-2.796	0.150	0.403	0.020	0.008
8.261	0.439	2.574	-2.779	0.155	0.336	0.017	0.008
8.312	0.431	2.572	-2.762	0.155	0.336	0.017	0.008
8.362	0.424	2.569	-2.735	0.160	0.537	0.027	0.008
8.412	0.417	2.566	-2.715	0.150	0.403	0.020	0.008
8.462	0.410	2.562	-2.695	0.160	0.403	0.020	0.008
8.512	0.403	2.559	-2.678	0.155	0.336	0.017	0.008
8.562	0.396	2.555	-2.658	0.160	0.403	0.020	0.008
8.613	0.389	2.552	-2.634	0.146	0.470	0.024	0.007
8.663	0.383	2.548	-2.614	0.150	0.403	0.020	0.008
8.713	0.376	2.544	-2.594	0.160	0.403	0.020	0.008
8.763	0.369	2.540	-2.574	0.150	0.403	0.020	0.008
8.813	0.363	2.536	-2.557	0.155	0.336	0.017	0.008
8.863	0.356	2.531	-2.537	0.160	0.403	0.020	0.008
8.913	0.350	2.526	-2.517	0.160	0.403	0.020	0.008
8.964	0.344	2.522	-2.500	0.155	0.336	0.017	0.008
9.014	0.338	2.517	-2.476	0.146	0.470	0.024	0.007
9.064	0.332	2.513	-2.459	0.155	0.336	0.017	0.008
9.114	0.326	2.508	-2.443	0.155	0.336	0.017	0.008
9.164	0.320	2.503	-2.432	0.146	0.201	0.010	0.007
9.214	0.314	2.498	-2.412	0.160	0.403	0.020	0.008
9.264	0.308	2.492	-2.389	0.164	0.470	0.024	0.008
9.315	0.302	2.486	-2.369	0.160	0.403	0.020	0.008
9.365	0.297	2.481	-2.348	0.160	0.403	0.020	0.008
