t	x	y	th	v	w	dTh	dSi
5.047	2.200	2.600	-1.571	0.000	0.000	0.000	0.000
5.097	2.200	2.600	-1.564	0.000	0.134	0.007	0.000
5.147	2.200	2.600	-1.527	-0.005	0.738	0.037	-0.000
5.198	2.200	2.600	-1.497	0.005	0.604	0.030	0.000
5.248	2.200	2.600	-1.456	0.000	0.806	0.040	0.000
5.298	2.200	2.600	-1.419	0.005	0.739	0.037	0.000
5.348	2.200	2.600	-1.379	0.000	0.806	0.040	0.000
5.398	2.200	2.600	-1.342	0.005	0.739	0.037	0.000
5.448	2.200	2.600	-1.305	-0.005	0.739	0.037	-0.000
5.498	2.200	2.600	-1.264	0.000	0.806	0.040	0.000
5.548	2.200	2.600	-1.227	0.005	0.739	0.037	0.000
5.599	2.200	2.600	-1.187	0.000	0.806	0.040	0.000
5.649	2.200	2.600	-1.150	-0.005	0.739	0.037	-0.000
5.699	2.200	2.600	-1.113	0.005	0.739	0.037	0.000
5.749	2.200	2.600	-1.076	-0.005	0.739	0.037	-0.000
5.799	2.200	2.600	-1.036	0.000	0.806	0.040	0.000
5.849	2.200	2.600	-0.995	0.000	0.806	0.040	0.000
5.899	2.200	2.600	-0.958	0.005	0.738	0.037	0.000
5.949	2.200	2.600	-0.918	0.000	0.805	0.040	0.000
6.000	2.200	2.599	-0.881	0.005	0.738	0.037	0.000
6.050	2.200	2.600	-0.844	-0.005	0.738	0.037	-0.000
6.100	2.200	2.600	-0.803	0.000	0.805	0.040	0.000
6.150	2.200	2.600	-0.766	-0.005	0.738	0.037	-0.000
6.200	2.200	2.600	-0.729	0.005	0.738	0.037	0.000
6.250	2.200	2.600	-0.689	0.000	0.805	0.040	0.000
6.301	2.200	2.600	-0.649	0.000	0.805	0.040	0.000
6.351	2.200	2.599	-0.611	0.005	0.738	0.037	0.000
6.401	2.200	2.600	-0.574	-0.005	0.738	0.037	-0.000
6.451	2.200	2.600	-0.534	0.000	0.805	0.040	0.000
6.501	2.200	2.600	-0.494	0.000	0.805	0.040	0.000
6.551	2.200	2.600	-0.453	0.000	0.805	0.040	0.000
6.601	2.200	2.600	-0.420	0.000	0.671	0.034	0.000
6.652	2.200	2.600	-0.379	0.000	0.805	0.040	0.000
6.702	2.200	2.600	-0.339	0.000	0.805	0.040	0.000
6.752	2.200	2.600	-0.298	0.000	0.805	0.040	0.000
6.802	2.200	2.600	-0.258	0.000	0.805	0.040	0.000
6.852	2.200	2.600	-0.224	0.000	0.671	0.034	0.000
6.903	2.200	2.600	-0.184	0.000	0.805	0.040	0.000
6.953	2.200	2.600	-0.147	-0.005	0.738	0.037	-0.000
7.003	2.200	2.600	-0.107	0.000	0.805	0.040	0.000
7.053	2.200	2.600	-0.070	0.005	0.739	0.037	0.000
7.103	2.200	2.600	-0.029	0.000	0.805	0.040	0.000
7.153	2.200	2.600	0.008	-0.005	0.738	0.037	-0.000
7.203	2.200	2.600	0.042	0.000	0.671	0.034	0.000
7.254	2.203	2.600	0.065	0.061	0.469	0.024	0.003
7.304	2.209	2.600	0.058	0.122	-0.134	-0.007	0.006
7.354	2.216	2.601	0.048	0.146	-0.201	-0.010	0.007
7.404	2.224	2.601	0.028	0.160	-0.403	-0.020	0.008
7.454	2.233	2.601	0.011	0.165	-0.336	-0.017	0.008
7.504	2.240	2.601	-0.002	0.150	-0.269	-0.013	0.008
7.554	2.248	2.601	-0.022	0.150	-0.403	-0.020	0.008
7.605	2.255	2.601	-0.039	0.155	-0.336	-0.017	0.008
7.655	2.263	2.600	-0.059	0.160	-0.403	-0.020	0.008
7.705	2.271	2.600	-0.076	0.155	-0.336	-0.017	0.008
7.755	2.279	2.599	-0.100	0.155	-0.470	-0.024	0.008
7.805	2.287	2.598	-0.120	0.160	-0.403	-0.020	0.008
7.855	2.294	2.597	-0.140	0.150	-0.403	-0.020	0.008
7.905	2.302	2.596	-0.160	0.160	-0.403	-0.020	0.008
7.955	2.310	2.595	-0.177	0.155	-0.336	-0.017	0.008
8.005	2.317	2.593	-0.197	0.150	-0.402	-0.020	0.008
8.056	2.325	2.592	-0.214	0.155	-0.336	-0.017	0.008
8.106	2.333	2.590	-0.234	0.160	-0.402	-0.020	0.008
8.156	2.340	2.588	-0.251	0.155	-0.336	-0.017	0.008
8.206	2.348	2.586	-0.275	0.155	-0.469	-0.024	0.008
8.256	2.355	2.584	-0.292	0.155	-0.335	-0.017	0.008
8.307	2.363	2.582	-0.309	0.155	-0.335	-0.017	0.008
8.357	2.370	2.579	-0.329	0.150	-0.403	-0.020	0.008
8.407	2.377	2.577	-0.349	0.150	-0.402	-0.020	0.008
8.457	2.384	2.574	-0.366	0.155	-0.336	-0.017	0.008
8.507	2.391	2.571	-0.386	0.150	-0.402	-0.020	0.008
8.558	2.399	2.568	-0.410	0.154	-0.468	-0.024	0.008
8.608	2.406	2.565	-0.426	0.155	-0.335	-0.017	0.008
8.658	2.413	2.562	-0.447	0.160	-0.403	-0.020	0.008
8.708	2.420	2.558	-0.467	0.160	-0.402	-0.020	0.008
8.758	2.427	2.555	-0.487	0.150	-0.403	-0.020	0.008
8.809	2.434	2.551	-0.504	0.164	-0.335	-0.017	0.008
8.859	2.440	2.547	-0.527	0.146	-0.470	-0.024	0.007
8.909	2.447	2.543	-0.548	0.159	-0.402	-0.020	0.008
8.959	2.454	2.539	-0.564	0.155	-0.336	-0.017	0.008
9.009	2.460	2.535	-0.581	0.155	-0.335	-0.017	0.008
9.060	2.467	2.530	-0.605	0.155	-0.470	-0.024	0.008
9.110	2.473	2.526	-0.625	0.150	-0.403	-0.020	0.008
9.160	2.479	2.521	-0.645	0.160	-0.403	-0.020	0.008
9.210	2.486	2.517	-0.662	0.155	-0.336	-0.017	0.008
9.260	2.492	2.512	-0.679	0.155	-0.336	-0.017	0.008
9.310	2.498	2.507	-0.699	0.150	-0.403	-0.020	0.008
9.361	2.503	2.502	-0.719	0.150	-0.403	-0.020	0.008
9.411	2.509	2.497	-0.739	0.160	-0.403	-0.020	0.008
9.461	2.515	2.492	-0.753	0.150	-0.268	-0.013	0.008
