t	x	y	th	v	w	dTh	dSi
5.050	2.200	2.600	-1.571	0.000	0.000	0.000	0.000
5.101	2.200	2.600	-1.561	0.005	0.200	0.010	0.000
5.151	2.200	2.600	-1.537	0.005	0.469	0.024	0.000
5.201	2.200	2.600	-1.503	-0.009	0.671	0.034	-0.000
5.251	2.200	2.600	-1.470	0.000	0.671	0.034	0.000
5.301	2.200	2.600	-1.433	-0.005	0.739	0.037	-0.000
5.351	2.200	2.600	-1.392	0.000	0.806	0.040	0.000
5.402	2.200	2.600	-1.352	0.000	0.805	0.040	0.000
5.452	2.200	2.600	-1.318	0.000	0.672	0.034	0.000
5.502	2.200	2.600	-1.278	0.000	0.806	0.040	0.000
5.552	2.200	2.600	-1.238	0.000	0.806	0.040	0.000
5.602	2.200	2.600	-1.201	-0.005	0.739	0.037	-0.000
5.652	2.200	2.600	-1.164	0.005	0.739	0.037	0.000
5.702	2.200	2.600	-1.123	0.000	0.806	0.040	0.000
5.752	2.200	2.600	-1.083	0.000	0.806	0.040	0.000
5.802	2.200	2.600	-1.046	0.005	0.739	0.037	0.000
5.853	2.200	2.600	-1.005	0.000	0.806	0.040	0.000
5.903	2.200	2.600	-0.965	0.000	0.805	0.040	0.000
5.953	2.200	2.600	-0.925	0.000	0.806	0.040	0.000
6.003	2.200	2.600	-0.884	0.000	0.805	0.040	0.000
6.053	2.200	2.600	-0.844	0.000	0.805	0.040	0.000
6.103	2.200	2.600	-0.807	0.005	0.738	0.037	0.000
6.154	2.200	2.600	-0.766	0.000	0.805	0.040	0.000
6.204	2.200	2.600	-0.726	0.000	0.805	0.040	0.000
6.254	2.200	2.600	-0.686	0.000	0.805	0.040	0.000
6.304	2.200	2.600	-0.649	-0.005	0.738	0.037	-0.000
6.354	2.200	2.600	-0.611	0.005	0.738	0.037	0.000
6.404	2.200	2.600	-0.571	0.000	0.805	0.040	0.000
6.454	2.200	2.600	-0.534	-0.005	0.738	0.037	-0.000
6.505	2.200	2.600	-0.494	0.000	0.805	0.040	0.000
6.555	2.200	2.600	-0.457	0.005	0.738	0.037	0.000
6.605	2.200	2.600	-0.420	-0.005	0.738	0.037	-0.000
6.655	2.200	2.600	-0.379	0.000	0.805	0.040	0.000
6.705	2.200	2.600	-0.342	0.005	0.738	0.037	0.000
6.755	2.200	2.600	-0.305	-0.005	0.738	0.037	-0.000
6.806	2.200	2.600	-0.265	0.000	0.805	0.040	0.000
6.856	2.200	2.600	-0.224	0.000	0.806	0.040	0.000
6.906	2.200	2.600	-0.184	0.000	0.806	0.040	0.000
6.956	2.200	2.600	-0.147	0.005	0.739	0.037	0.000
7.006	2.200	2.600	-0.107	0.000	0.806	0.040	0.000
7.056	2.200	2.600	-0.066	0.000	0.805	0.040	0.000
7.106	2.201	2.600	-0.029	0.005	0.738	0.037	0.000
7.157	2.201	2.600	0.011	0.000	0.805	0.040	0.000
7.207	2.204	2.600	0.028	0.061	0.335	0.017	0.003
7.257	2.210	2.600	0.021	0.131	-0.134	-0.007	0.007
7.308	2.217	2.600	0.011	0.144	-0.199	-0.010	0.007
7.358	2.225	2.600	-0.009	0.160	-0.403	-0.020	0.008
7.408	2.233	2.600	-0.029	0.160	-0.403	-0.020	0.008
7.458	2.241	2.600	-0.049	0.160	-0.403	-0.020	0.008
7.508	2.249	2.599	-0.070	0.150	-0.403	-0.020	0.008
7.558	2.257	2.599	-0.086	0.155	-0.336	-0.017	0.008
7.608	2.264	2.598	-0.107	0.150	-0.403	-0.020	0.008
7.658	2.272	2.597	-0.127	0.150	-0.403	-0.020	0.008
7.708	2.279	2.596	-0.150	0.155	-0.470	-0.024	0.008
7.759	2.287	2.595	-0.167	0.146	-0.336	-0.017	0.007
7.809	2.294	2.594	-0.187	0.150	-0.403	-0.020	0.008
7.859	2.302	2.592	-0.204	0.155	-0.336	-0.017	0.008
