t	x	y	th	v*100	w	dTh	dSi
0.02	-0.00	0.00	-0.00	-1.43	-0.20	-0.00	-0.00
0.07	-0.00	-0.00	0.02	-0.47	0.47	0.02	-0.00
0.12	-0.00	-0.00	0.07	0.00	1.07	0.05	0.00
0.17	-0.00	0.00	0.14	0.47	1.28	0.06	0.00
0.22	-0.00	0.00	0.21	0.00	1.48	0.07	0.00
0.27	-0.00	0.00	0.29	0.00	1.61	0.08	0.00
0.32	-0.00	-0.00	0.36	-0.47	1.41	0.07	-0.00
0.37	-0.00	0.00	0.44	0.47	1.54	0.08	0.00
0.42	-0.00	-0.00	0.52	-0.47	1.54	0.08	-0.00
0.47	-0.00	-0.00	0.59	0.00	1.48	0.07	0.00
0.52	-0.00	-0.00	0.67	0.00	1.61	0.08	0.00
0.57	-0.00	-0.00	0.75	-0.47	1.54	0.08	-0.00
0.62	-0.00	-0.00	0.83	0.00	1.61	0.08	0.00
0.67	-0.00	-0.00	0.91	0.00	1.48	0.07	0.00
0.72	-0.00	-0.00	0.98	-0.47	1.54	0.08	-0.00
0.77	-0.00	-0.00	1.06	0.47	1.54	0.08	0.00
0.82	-0.00	-0.00	1.14	-0.47	1.54	0.08	-0.00
0.87	-0.00	-0.00	1.22	0.47	1.54	0.08	0.00
0.92	-0.00	0.00	1.29	0.47	1.54	0.08	0.00
0.97	-0.00	0.00	1.37	0.00	1.48	0.07	0.00
1.02	-0.00	0.00	1.45	0.00	1.61	0.08	0.00
1.07	-0.00	0.00	1.52	0.00	1.48	0.07	0.00
1.12	-0.00	0.00	1.60	0.47	1.54	0.08	0.00
1.17	-0.00	0.00	1.66	1.41	1.28	0.06	0.00
1.22	-0.00	0.00	1.69	6.58	0.54	0.03	0.00
1.27	-0.00	0.01	1.70	8.46	0.27	0.01	0.00
1.32	-0.00	0.01	1.72	8.46	0.27	0.01	0.00
1.37	-0.00	0.02	1.73	7.98	0.20	0.01	0.00
1.42	-0.00	0.02	1.73	8.93	0.07	0.00	0.00
1.47	-0.00	0.03	1.73	10.33	0.00	0.00	0.01
1.52	-0.01	0.03	1.73	10.34	0.00	0.00	0.01
1.57	-0.01	0.04	1.73	10.33	0.00	0.00	0.01
1.62	-0.01	0.04	1.73	9.86	-0.07	-0.00	0.00
1.67	-0.01	0.05	1.73	9.85	0.07	0.00	0.00
1.72	-0.01	0.05	1.73	9.86	-0.07	-0.00	0.00
1.77	-0.01	0.06	1.73	9.12	0.00	0.00	0.00
1.82	-0.01	0.06	1.72	9.86	-0.07	-0.00	0.00
1.87	-0.01	0.07	1.72	9.40	0.00	0.00	0.00
1.92	-0.01	0.07	1.72	9.39	0.00	0.00	0.00
1.97	-0.01	0.08	1.72	10.33	0.00	0.00	0.01
2.02	-0.01	0.08	1.72	9.39	0.00	0.00	0.00
2.07	-0.01	0.08	1.72	10.34	0.00	0.00	0.01
2.12	-0.01	0.09	1.72	9.87	-0.07	-0.00	0.00
2.17	-0.01	0.09	1.72	9.40	0.00	0.00	0.00
2.22	-0.02	0.10	1.72	9.38	0.00	0.00	0.00
2.27	-0.02	0.10	1.72	10.34	0.00	0.00	0.01
2.33	-0.02	0.11	1.72	9.87	0.07	0.00	0.00
2.38	-0.02	0.11	1.72	9.40	0.00	0.00	0.00
2.43	-0.02	0.12	1.72	9.87	-0.07	-0.00	0.00
2.48	-0.02	0.12	1.72	9.86	0.07	0.00	0.00
2.53	-0.02	0.13	1.72	10.78	-0.07	-0.00	0.01
2.58	-0.02	0.13	1.72	9.39	0.00	0.00	0.00
2.63	-0.02	0.14	1.72	9.40	0.00	0.00	0.00
2.68	-0.02	0.14	1.72	10.80	0.07	0.00	0.01
2.73	-0.02	0.15	1.72	9.84	-0.07	-0.00	0.00
2.78	-0.02	0.15	1.72	9.82	0.07	0.00	0.00
2.83	-0.02	0.16	1.72	9.39	0.00	0.00	0.00
2.88	-0.03	0.16	1.73	9.86	0.07	0.00	0.00
2.93	-0.03	0.17	1.73	9.39	0.00	0.00	0.00
2.98	-0.03	0.17	1.73	9.87	0.07	0.00	0.00
3.03	-0.03	0.18	1.73	10.33	0.00	0.00	0.01
3.08	-0.03	0.18	1.73	9.87	-0.07	-0.00	0.00
3.13	-0.03	0.19	1.73	9.40	0.00	0.00	0.00
3.18	-0.03	0.19	1.73	10.33	0.00	0.00	0.01
3.23	-0.03	0.20	1.73	9.87	0.07	0.00	0.00
3.28	-0.03	0.20	1.73	9.87	-0.07	-0.00	0.00
3.33	-0.03	0.21	1.73	9.39	0.00	0.00	0.00
3.38	-0.03	0.21	1.73	10.33	0.00	0.00	0.01
3.43	-0.03	0.22	1.73	10.33	0.00	0.00	0.01
3.48	-0.03	0.22	1.73	9.38	0.00	0.00	0.00
3.53	-0.04	0.23	1.73	9.36	0.00	0.00	0.00
3.58	-0.04	0.23	1.73	9.39	0.00	0.00	0.00
3.63	-0.04	0.24	1.72	9.85	-0.07	-0.00	0.00
3.68	-0.04	0.24	1.72	9.86	-0.07	-0.00	0.00
t	x	y	th	v*100	w	dTh	dSi
t	x	y	th	v*100	w	dTh	dSi
0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.07	0.00	0.00	0.02	0.00	0.40	0.02	0.00
0.12	-0.00	-0.00	0.07	-0.47	1.01	0.05	-0.00
0.17	-0.00	0.00	0.13	0.47	1.28	0.06	0.00
0.22	-0.00	0.00	0.22	0.00	1.61	0.08	0.00
0.27	-0.00	-0.00	0.29	-0.47	1.41	0.07	-0.00
0.32	-0.00	-0.00	0.37	0.00	1.61	0.08	0.00
0.37	-0.00	-0.00	0.45	0.00	1.61	0.08	0.00
0.42	-0.00	0.00	0.53	0.47	1.55	0.08	0.00
0.47	-0.00	0.00	0.61	0.00	1.61	0.08	0.00
0.52	-0.00	0.00	0.68	0.00	1.48	0.07	0.00
0.57	-0.00	0.00	0.76	0.00	1.61	0.08	0.00
0.62	-0.00	0.00	0.83	0.00	1.48	0.07	0.00
0.67	-0.00	0.00	0.92	0.00	1.61	0.08	0.00
0.72	0.00	0.00	0.99	0.47	1.54	0.08	0.00
0.77	0.00	0.00	1.07	0.00	1.48	0.07	0.00
0.82	0.00	0.00	1.14	0.00	1.48	0.07	0.00
0.87	0.00	0.00	1.22	0.94	1.48	0.07	0.00
0.92	0.00	0.00	1.30	0.00	1.61	0.08	0.00
0.97	0.00	0.00	1.38	-0.47	1.68	0.08	-0.00
1.02	0.00	0.00	1.45	0.00	1.48	0.07	0.00
1.07	0.00	0.00	1.53	0.00	1.48	0.07	0.00
