t	x	y	th	v	w	dTh	dSi
5.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.086	0.000	-0.000	-0.010	0.005	-0.200	-0.010	0.000
5.136	0.000	-0.000	-0.037	0.000	-0.536	-0.027	0.000
5.186	-0.000	0.000	-0.071	-0.009	-0.671	-0.034	-0.000
5.236	-0.001	0.000	-0.104	-0.009	-0.671	-0.034	-0.000
5.287	-0.001	0.000	-0.141	-0.005	-0.739	-0.037	-0.000
5.337	-0.001	0.000	-0.175	0.000	-0.670	-0.034	0.000
5.387	-0.001	0.000	-0.215	0.000	-0.804	-0.040	0.000
5.437	-0.001	0.000	-0.249	0.000	-0.671	-0.034	0.000
5.487	-0.001	0.000	-0.293	0.005	-0.872	-0.044	0.000
5.538	-0.001	0.000	-0.333	0.000	-0.805	-0.040	0.000
5.588	-0.001	0.000	-0.370	-0.005	-0.739	-0.037	-0.000
5.638	-0.001	0.000	-0.407	0.005	-0.739	-0.037	0.000
5.688	-0.001	0.000	-0.444	-0.005	-0.739	-0.037	-0.000
5.738	-0.001	0.000	-0.485	0.000	-0.806	-0.040	0.000
5.788	-0.001	0.000	-0.522	0.005	-0.739	-0.037	0.000
5.838	-0.001	0.000	-0.562	0.000	-0.806	-0.040	0.000
5.888	-0.001	0.000	-0.603	0.000	-0.806	-0.040	0.000
5.938	-0.001	0.000	-0.643	0.000	-0.806	-0.040	0.000
5.988	-0.001	0.000	-0.683	0.000	-0.806	-0.040	0.000
6.038	-0.001	0.000	-0.717	0.000	-0.672	-0.034	0.000
6.089	-0.001	0.000	-0.757	0.000	-0.806	-0.040	0.000
6.139	-0.001	0.000	-0.794	-0.005	-0.738	-0.037	-0.000
6.189	-0.001	0.000	-0.831	0.005	-0.738	-0.037	0.000
6.239	-0.001	0.000	-0.872	0.000	-0.805	-0.040	0.000
6.289	-0.001	-0.000	-0.916	0.005	-0.873	-0.044	0.000
6.339	-0.001	-0.000	-0.956	0.000	-0.805	-0.040	0.000
6.390	-0.001	0.000	-0.993	-0.005	-0.739	-0.037	-0.000
6.440	-0.001	-0.000	-1.030	0.005	-0.738	-0.037	0.000
6.490	-0.001	-0.000	-1.070	0.000	-0.806	-0.040	0.000
6.540	-0.001	-0.000	-1.104	0.000	-0.671	-0.034	0.000
6.590	-0.001	-0.000	-1.144	0.000	-0.806	-0.040	0.000
6.640	-0.001	0.000	-1.181	-0.005	-0.738	-0.037	-0.000
6.690	-0.001	0.000	-1.222	0.000	-0.806	-0.040	0.000
6.741	-0.001	-0.000	-1.259	0.005	-0.738	-0.037	0.000
6.791	-0.001	0.000	-1.296	-0.005	-0.739	-0.037	-0.000
6.841	-0.001	0.000	-1.330	0.000	-0.671	-0.034	0.000
6.891	-0.001	-0.000	-1.373	0.005	-0.873	-0.044	0.000
6.941	-0.001	0.000	-1.410	-0.005	-0.738	-0.037	-0.000
6.993	-0.001	0.000	-1.451	0.000	-0.780	-0.040	0.000
7.043	-0.001	-0.000	-1.495	0.005	-0.872	-0.044	0.000
7.093	-0.001	-0.000	-1.535	0.000	-0.806	-0.040	0.000
7.143	-0.001	0.000	-1.572	-0.005	-0.738	-0.037	-0.000
7.194	-0.001	-0.002	-1.592	0.047	-0.402	-0.020	0.002
7.244	-0.001	-0.008	-1.582	0.117	0.201	0.010	0.006
7.294	-0.001	-0.016	-1.572	0.146	0.201	0.010	0.007
7.344	-0.001	-0.023	-1.552	0.150	0.403	0.020	0.008
7.394	-0.001	-0.031	-1.532	0.160	0.403	0.020	0.008
7.444	-0.000	-0.039	-1.511	0.160	0.403	0.020	0.008
7.495	0.000	-0.047	-1.495	0.155	0.336	0.017	0.008
7.545	0.001	-0.055	-1.478	0.155	0.336	0.017	0.008
7.595	0.002	-0.063	-1.451	0.160	0.538	0.027	0.008
7.645	0.003	-0.071	-1.427	0.164	0.469	0.024	0.008
