t	x	y	th	v	w	dTh	dSi
5.041	1.800	1.600	3.142	0.000	0.000	0.000	0.000
5.091	1.800	1.600	3.142	-0.009	0.000	0.000	-0.000
5.141	1.800	1.600	-3.121	0.009	0.402	0.020	0.000
5.192	1.800	1.600	-3.101	0.000	0.403	0.020	0.000
5.242	1.798	1.600	-3.094	0.047	0.134	0.007	0.002
5.292	1.792	1.600	-3.084	0.108	0.201	0.010	0.005
5.342	1.787	1.599	-3.074	0.108	0.201	0.010	0.005
5.392	1.780	1.599	-3.071	0.127	0.067	0.003	0.006
5.442	1.774	1.598	-3.071	0.132	0.000	0.000	0.007
5.493	1.768	1.598	-3.068	0.127	0.067	0.003	0.006
5.543	1.762	1.597	-3.068	0.113	0.000	0.000	0.006
5.593	1.756	1.597	-3.061	0.122	0.134	0.007	0.006
5.643	1.750	1.597	-3.064	0.117	-0.067	-0.003	0.006
5.693	1.744	1.596	-3.064	0.122	0.000	0.000	0.006
5.744	1.738	1.596	-3.061	0.117	0.067	0.003	0.006
5.794	1.732	1.595	-3.068	0.122	-0.134	-0.007	0.006
5.844	1.726	1.595	-3.071	0.127	-0.067	-0.003	0.006
5.894	1.719	1.594	-3.071	0.122	0.000	0.000	0.006
5.944	1.713	1.594	-3.071	0.122	0.000	0.000	0.006
5.994	1.707	1.593	-3.071	0.122	0.000	0.000	0.006
6.045	1.701	1.593	-3.068	0.127	0.067	0.003	0.006
6.095	1.694	1.592	-3.071	0.127	-0.067	-0.003	0.006
6.145	1.688	1.592	-3.071	0.122	0.000	0.000	0.006
6.195	1.682	1.592	-3.071	0.132	0.000	0.000	0.007
6.245	1.676	1.591	-3.074	0.117	-0.067	-0.003	0.006
6.295	1.670	1.591	-3.071	0.127	0.067	0.003	0.006
6.346	1.663	1.590	-3.071	0.122	0.000	0.000	0.006
6.396	1.657	1.590	-3.071	0.122	0.000	0.000	0.006
6.446	1.651	1.589	-3.071	0.122	0.000	0.000	0.006
6.496	1.645	1.589	-3.071	0.122	0.000	0.000	0.006
6.547	1.639	1.589	-3.071	0.122	0.000	0.000	0.006
6.597	1.633	1.588	-3.071	0.122	0.000	0.000	0.006
6.647	1.627	1.588	-3.068	0.127	0.067	0.003	0.006
6.697	1.621	1.587	-3.071	0.117	-0.067	-0.003	0.006
6.747	1.614	1.587	-3.068	0.127	0.067	0.003	0.006
6.797	1.609	1.586	-3.068	0.113	0.000	0.000	0.006
6.848	1.602	1.586	-3.068	0.132	0.000	0.000	0.007
6.898	1.596	1.585	-3.064	0.117	0.067	0.003	0.006
6.948	1.590	1.585	-3.064	0.122	0.000	0.000	0.006
6.998	1.584	1.584	-3.061	0.117	0.067	0.003	0.006
7.048	1.578	1.584	-3.061	0.122	0.000	0.000	0.006
7.098	1.572	1.584	-3.064	0.117	-0.067	-0.003	0.006
7.149	1.566	1.583	-3.064	0.122	0.000	0.000	0.006
7.199	1.560	1.583	-3.064	0.122	0.000	0.000	0.006
7.249	1.554	1.582	-3.071	0.122	-0.134	-0.007	0.006
7.299	1.548	1.582	-3.068	0.127	0.067	0.003	0.006
7.350	1.541	1.581	-3.071	0.127	-0.067	-0.003	0.006
7.400	1.535	1.581	-3.071	0.122	0.000	0.000	0.006
7.450	1.529	1.580	-3.068	0.127	0.067	0.003	0.006
7.500	1.522	1.580	-3.071	0.126	-0.067	-0.003	0.006
7.550	1.516	1.579	-3.071	0.122	0.000	0.000	0.006
7.601	1.510	1.579	-3.071	0.131	0.000	0.000	0.007
7.651	1.504	1.579	-3.074	0.117	-0.067	-0.003	0.006
7.701	1.498	1.578	-3.071	0.127	0.067	0.003	0.006
7.751	1.492	1.578	-3.074	0.117	-0.067	-0.003	0.006
7.801	1.485	1.577	-3.071	0.127	0.067	0.003	0.006
7.852	1.479	1.577	-3.071	0.122	0.000	0.000	0.006
7.902	1.473	1.576	-3.071	0.122	0.000	0.000	0.006
7.952	1.467	1.576	-3.071	0.122	0.000	0.000	0.006
8.002	1.461	1.576	-3.071	0.122	0.000	0.000	0.006
8.052	1.455	1.575	-3.068	0.127	0.067	0.003	0.006
8.103	1.449	1.575	-3.068	0.113	0.000	0.000	0.006
