t	x	y	th	v*100	w	dTh	dSi
0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.42	0.00	0.00	0.01	0.00	0.13	0.01	0.00
0.47	0.00	0.00	0.02	0.47	0.34	0.02	0.00
0.53	0.00	0.00	0.04	0.00	0.27	0.01	0.00
0.58	0.00	0.00	0.05	0.00	0.27	0.01	0.00
0.63	0.00	0.00	0.06	0.00	0.27	0.01	0.00
0.68	0.00	0.00	0.08	0.00	0.27	0.01	0.00
0.73	0.00	0.00	0.09	0.00	0.27	0.01	0.00
0.78	0.00	0.00	0.10	0.00	0.27	0.01	0.00
0.83	0.00	0.00	0.12	0.47	0.34	0.02	0.00
0.88	0.00	0.00	0.13	0.00	0.27	0.01	0.00
0.93	0.00	-0.00	0.15	-0.47	0.34	0.02	-0.00
0.98	0.00	-0.00	0.16	0.00	0.24	0.01	0.00
1.03	0.00	0.00	0.18	0.94	0.27	0.01	0.00
1.08	0.00	0.00	0.19	0.00	0.27	0.01	0.00
1.13	0.00	0.00	0.21	0.00	0.40	0.02	0.00
1.18	0.00	0.00	0.23	0.00	0.40	0.02	0.00
1.23	0.00	0.00	0.26	-0.47	0.47	0.02	-0.00
1.28	0.00	0.00	0.28	0.00	0.54	0.03	0.00
1.33	0.00	0.00	0.30	0.00	0.40	0.02	0.00
1.38	0.00	0.00	0.33	0.00	0.54	0.03	0.00
1.43	0.00	-0.00	0.35	-0.47	0.34	0.02	-0.00
1.48	0.00	-0.00	0.36	-0.47	0.34	0.02	-0.00
1.53	0.00	-0.00	0.38	0.47	0.34	0.02	0.00
1.58	0.00	-0.00	0.40	0.00	0.40	0.02	0.00
1.63	0.00	-0.00	0.41	0.00	0.27	0.01	0.00
1.69	0.00	-0.00	0.43	-0.47	0.33	0.02	-0.00
1.74	0.00	-0.00	0.45	0.00	0.40	0.02	0.00
1.79	0.00	-0.00	0.47	0.47	0.34	0.02	0.00
1.84	0.00	-0.00	0.48	0.00	0.27	0.01	0.00
1.89	0.00	-0.00	0.50	-0.47	0.34	0.02	-0.00
1.94	-0.00	-0.00	0.51	-0.47	0.34	0.02	-0.00
