t	x	y	th	v	w	dTh	dSi
3.033	0.205	1.025	1.571	0.000	0.000	0.000	0.000
3.083	0.205	1.025	1.564	0.000	-0.134	-0.007	0.000
3.134	0.205	1.025	1.544	0.000	-0.403	-0.020	0.000
3.184	0.205	1.025	1.524	0.000	-0.403	-0.020	0.000
3.234	0.205	1.025	1.503	0.000	-0.403	-0.020	0.000
3.284	0.205	1.025	1.483	0.000	-0.403	-0.020	0.000
3.334	0.205	1.025	1.460	-0.005	-0.470	-0.024	-0.000
3.384	0.205	1.025	1.433	0.000	-0.537	-0.027	0.000
3.434	0.205	1.025	1.406	0.000	-0.537	-0.027	0.000
3.485	0.205	1.025	1.379	0.000	-0.537	-0.027	0.000
3.535	0.205	1.025	1.352	0.000	-0.537	-0.027	0.000
3.585	0.205	1.025	1.332	0.000	-0.403	-0.020	0.000
3.635	0.205	1.025	1.305	0.000	-0.537	-0.027	0.000
3.685	0.205	1.025	1.275	-0.005	-0.604	-0.030	-0.000
3.735	0.205	1.025	1.251	0.005	-0.470	-0.024	0.000
3.785	0.205	1.025	1.227	-0.005	-0.470	-0.024	-0.000
3.836	0.205	1.025	1.204	0.005	-0.470	-0.024	0.000
3.886	0.205	1.025	1.177	0.000	-0.537	-0.027	0.000
3.936	0.205	1.025	1.150	0.000	-0.537	-0.027	0.000
3.988	0.205	1.025	1.123	0.000	-0.520	-0.027	0.000
4.038	0.205	1.025	1.100	-0.005	-0.470	-0.024	-0.000
4.088	0.205	1.025	1.073	0.000	-0.537	-0.027	0.000
4.138	0.205	1.024	1.049	-0.005	-0.470	-0.024	-0.000
4.188	0.205	1.025	1.026	0.005	-0.470	-0.024	0.000
4.238	0.205	1.025	0.999	0.000	-0.537	-0.027	0.000
4.289	0.205	1.025	0.978	0.000	-0.403	-0.020	0.000
4.339	0.205	1.025	0.951	0.000	-0.537	-0.027	0.000
4.389	0.205	1.025	0.925	0.000	-0.537	-0.027	0.000
4.439	0.205	1.024	0.901	-0.005	-0.470	-0.024	-0.000
4.489	0.205	1.024	0.874	0.000	-0.537	-0.027	0.000
4.539	0.205	1.025	0.850	0.005	-0.470	-0.024	0.000
4.589	0.205	1.025	0.824	0.000	-0.537	-0.027	0.000
4.640	0.205	1.025	0.797	0.000	-0.537	-0.027	0.000
4.690	0.205	1.025	0.770	0.000	-0.537	-0.027	0.000
4.740	0.205	1.025	0.746	0.005	-0.470	-0.024	0.000
4.790	0.205	1.025	0.719	0.000	-0.537	-0.027	0.000
4.840	0.205	1.025	0.696	-0.005	-0.470	-0.024	-0.000
4.890	0.205	1.025	0.669	0.000	-0.537	-0.027	0.000
4.940	0.205	1.025	0.642	0.000	-0.537	-0.027	0.000
4.991	0.205	1.024	0.618	-0.005	-0.470	-0.024	-0.000
5.041	0.205	1.025	0.595	0.005	-0.470	-0.024	0.000
5.091	0.205	1.025	0.568	0.000	-0.537	-0.027	0.000
5.141	0.205	1.025	0.544	0.005	-0.470	-0.024	0.000
5.191	0.205	1.025	0.517	0.000	-0.537	-0.027	0.000
5.241	0.205	1.025	0.487	-0.005	-0.604	-0.030	-0.000
5.291	0.205	1.025	0.463	0.005	-0.470	-0.024	0.000
5.342	0.205	1.025	0.440	-0.005	-0.470	-0.024	-0.000
5.392	0.205	1.025	0.413	0.000	-0.537	-0.027	0.000
5.442	0.205	1.025	0.386	0.000	-0.537	-0.027	0.000
5.492	0.205	1.024	0.362	-0.005	-0.469	-0.024	-0.000
5.542	0.205	1.024	0.335	0.000	-0.537	-0.027	0.000
5.592	0.205	1.025	0.312	0.005	-0.469	-0.024	0.000
5.643	0.205	1.025	0.288	0.005	-0.470	-0.024	0.000
5.693	0.205	1.025	0.265	-0.005	-0.470	-0.024	-0.000
5.743	0.205	1.025	0.238	0.000	-0.537	-0.027	0.000
5.793	0.205	1.025	0.211	0.000	-0.537	-0.027	0.000
5.843	0.205	1.025	0.184	0.000	-0.537	-0.027	0.000
5.893	0.205	1.025	0.160	0.005	-0.470	-0.024	0.000
5.944	0.205	1.025	0.137	-0.005	-0.470	-0.024	-0.000
5.994	0.205	1.025	0.110	0.000	-0.537	-0.027	0.000
6.044	0.205	1.025	0.083	0.000	-0.537	-0.027	0.000
6.094	0.205	1.025	0.059	0.005	-0.470	-0.024	0.000
6.144	0.205	1.025	0.033	0.000	-0.536	-0.027	0.000
6.194	0.205	1.025	0.006	0.000	-0.537	-0.027	0.000
6.244	0.205	1.025	-0.021	0.000	-0.537	-0.027	0.000
6.295	0.207	1.025	-0.038	0.042	-0.336	-0.017	0.002
6.345	0.213	1.024	-0.048	0.117	-0.201	-0.010	0.006
6.395	0.221	1.024	-0.062	0.150	-0.268	-0.013	0.008
6.445	0.229	1.023	-0.068	0.169	-0.134	-0.007	0.008
6.495	0.238	1.023	-0.068	0.169	0.000	0.000	0.008
6.545	0.246	1.022	-0.068	0.160	0.000	0.000	0.008
6.596	0.253	1.022	-0.075	0.150	-0.134	-0.007	0.008
6.646	0.260	1.021	-0.072	0.146	0.067	0.003	0.007
6.696	0.268	1.021	-0.068	0.155	0.067	0.003	0.008
6.746	0.276	1.020	-0.065	0.155	0.067	0.003	0.008
6.796	0.283	1.020	-0.065	0.150	0.000	0.000	0.008
6.846	0.291	1.019	-0.062	0.146	0.067	0.003	0.007
6.896	0.298	1.019	-0.058	0.146	0.067	0.003	0.007
6.947	0.305	1.018	-0.058	0.141	0.000	0.000	0.007
6.997	0.312	1.018	-0.058	0.141	0.000	0.000	0.007
7.047	0.319	1.017	-0.058	0.132	0.000	0.000	0.007
7.097	0.326	1.017	-0.058	0.141	0.000	0.000	0.007
7.147	0.333	1.017	-0.055	0.136	0.067	0.003	0.007
7.197	0.339	1.016	-0.055	0.132	0.000	0.000	0.007
7.248	0.346	1.016	-0.055	0.132	0.000	0.000	0.007
7.298	0.352	1.016	-0.055	0.132	0.000	0.000	0.007
7.348	0.359	1.015	-0.058	0.127	-0.067	-0.003	0.006
7.398	0.365	1.015	-0.062	0.127	-0.067	-0.003	0.006
7.448	0.371	1.014	-0.065	0.117	-0.067	-0.003	0.006
7.498	0.377	1.014	-0.065	0.122	0.000	0.000	0.006
7.549	0.383	1.014	-0.065	0.122	0.000	0.000	0.006
7.599	0.389	1.013	-0.062	0.127	0.067	0.003	0.006
7.649	0.395	1.013	-0.065	0.117	-0.067	-0.003	0.006
7.699	0.401	1.012	-0.068	0.118	-0.067	-0.003	0.006
7.749	0.407	1.012	-0.068	0.122	0.000	0.000	0.006
7.799	0.413	1.012	-0.068	0.113	0.000	0.000	0.006
7.850	0.418	1.011	-0.072	0.108	-0.067	-0.003	0.005
7.900	0.424	1.011	-0.068	0.108	0.067	0.003	0.005
7.950	0.429	1.011	-0.068	0.113	0.000	0.000	0.006
8.000	0.435	1.010	-0.065	0.108	0.067	0.003	0.005
8.050	0.441	1.010	-0.065	0.113	0.000	0.000	0.006
8.100	0.446	1.009	-0.062	0.108	0.067	0.003	0.005
8.151	0.451	1.009	-0.065	0.108	-0.067	-0.003	0.005
8.201	0.456	1.009	-0.065	0.103	0.000	0.000	0.005
8.251	0.461	1.008	-0.062	0.099	0.067	0.003	0.005
8.301	0.467	1.008	-0.062	0.103	0.000	0.000	0.005
8.351	0.471	1.008	-0.062	0.094	0.000	0.000	0.005
8.401	0.476	1.008	-0.058	0.099	0.067	0.003	0.005
8.452	0.481	1.007	-0.058	0.094	0.000	0.000	0.005
8.502	0.486	1.007	-0.058	0.103	0.000	0.000	0.005
8.552	0.491	1.007	-0.058	0.094	0.000	0.000	0.005
8.602	0.496	1.006	-0.058	0.094	0.000	0.000	0.005
8.652	0.500	1.006	-0.058	0.094	0.000	0.000	0.005
8.702	0.505	1.006	-0.055	0.089	0.067	0.003	0.004
8.753	0.509	1.006	-0.062	0.085	-0.134	-0.007	0.004
8.803	0.513	1.005	-0.058	0.089	0.067	0.003	0.004
8.853	0.518	1.005	-0.062	0.089	-0.067	-0.003	0.004
8.903	0.522	1.005	-0.062	0.084	0.000	0.000	0.004
8.953	0.527	1.005	-0.062	0.094	0.000	0.000	0.005
9.003	0.531	1.004	-0.062	0.075	0.000	0.000	0.004
9.054	0.535	1.004	-0.062	0.085	0.000	0.000	0.004
9.104	0.539	1.004	-0.062	0.085	0.000	0.000	0.004
9.154	0.543	1.004	-0.065	0.080	-0.067	-0.003	0.004
9.204	0.547	1.003	-0.068	0.080	-0.067	-0.003	0.004
9.254	0.551	1.003	-0.065	0.080	0.067	0.003	0.004
9.304	0.555	1.003	-0.065	0.075	0.000	0.000	0.004
9.354	0.559	1.002	-0.065	0.085	0.000	0.000	0.004
9.405	0.563	1.002	-0.065	0.075	0.000	0.000	0.004
9.455	0.567	1.002	-0.068	0.080	-0.067	-0.003	0.004
9.505	0.571	1.002	-0.068	0.075	0.000	0.000	0.004
9.555	0.574	1.001	-0.068	0.075	0.000	0.000	0.004
9.605	0.578	1.001	-0.068	0.075	0.000	0.000	0.004
9.655	0.582	1.001	-0.072	0.071	-0.067	-0.003	0.004
