t	x	y	th	v	w	dTh	dSi
5.064	1.800	2.400	1.571	0.000	0.000	0.000	0.000
5.114	1.800	2.400	1.571	0.000	0.000	0.000	0.000
5.165	1.800	2.400	1.571	0.000	0.000	0.000	0.000
5.215	1.800	2.400	1.578	0.000	0.134	0.007	0.000
5.265	1.800	2.400	1.581	0.005	0.067	0.003	0.000
5.315	1.800	2.400	1.584	0.005	0.067	0.003	0.000
5.365	1.800	2.400	1.591	0.000	0.134	0.007	0.000
5.415	1.800	2.400	1.598	0.000	0.134	0.007	0.000
5.466	1.800	2.400	1.598	0.000	0.000	0.000	0.000
5.516	1.800	2.400	1.604	0.000	0.134	0.007	0.000
5.566	1.800	2.401	1.608	0.005	0.067	0.003	0.000
5.616	1.800	2.400	1.611	-0.005	0.067	0.003	-0.000
5.666	1.800	2.400	1.618	-0.009	0.134	0.007	-0.000
5.716	1.800	2.400	1.621	0.005	0.067	0.003	0.000
5.777	1.800	2.400	1.628	-0.008	0.112	0.007	-0.000
5.827	1.800	2.400	1.635	0.000	0.134	0.007	0.000
5.877	1.800	2.400	1.635	0.000	0.000	0.000	0.000
5.927	1.800	2.400	1.638	-0.005	0.067	0.003	-0.000
5.977	1.800	2.400	1.648	0.005	0.201	0.010	0.000
6.028	1.800	2.400	1.652	-0.005	0.067	0.003	-0.000
6.078	1.800	2.400	1.658	0.000	0.134	0.007	0.000
6.128	1.800	2.400	1.665	0.000	0.134	0.007	0.000
6.178	1.800	2.400	1.672	0.000	0.134	0.007	0.000
6.228	1.800	2.400	1.679	0.000	0.134	0.007	0.000
6.278	1.800	2.400	1.682	0.005	0.067	0.003	0.000
6.328	1.800	2.400	1.685	0.005	0.067	0.003	0.000
6.379	1.800	2.400	1.692	-0.009	0.134	0.007	-0.000
6.429	1.800	2.400	1.699	0.000	0.134	0.007	0.000
6.479	1.800	2.400	1.705	0.000	0.134	0.007	0.000
6.529	1.800	2.400	1.712	0.000	0.134	0.007	0.000
6.579	1.800	2.400	1.716	0.005	0.067	0.003	0.000
6.629	1.800	2.400	1.722	0.000	0.134	0.007	0.000
6.680	1.800	2.400	1.729	0.000	0.134	0.007	0.000
6.730	1.800	2.400	1.739	0.005	0.201	0.010	0.000
6.780	1.800	2.400	1.742	-0.005	0.067	0.003	-0.000
6.830	1.800	2.400	1.746	-0.005	0.067	0.003	-0.000
6.880	1.800	2.400	1.749	0.005	0.067	0.003	0.000
6.931	1.800	2.400	1.756	0.000	0.134	0.007	0.000
6.981	1.800	2.400	1.766	0.005	0.201	0.010	0.000
7.031	1.800	2.400	1.769	-0.005	0.067	0.003	-0.000
7.081	1.800	2.400	1.776	0.000	0.134	0.007	0.000
7.131	1.800	2.400	1.786	-0.005	0.201	0.010	-0.000
7.181	1.800	2.400	1.790	0.005	0.067	0.003	0.000
7.232	1.800	2.400	1.796	0.000	0.134	0.007	0.000
7.282	1.800	2.400	1.803	0.000	0.134	0.007	0.000
7.332	1.800	2.400	1.810	0.000	0.134	0.007	0.000
7.382	1.800	2.400	1.817	0.000	0.134	0.007	0.000
7.432	1.800	2.400	1.823	0.000	0.134	0.007	0.000
7.482	1.800	2.400	1.827	-0.005	0.067	0.003	-0.000
7.532	1.800	2.400	1.833	0.009	0.134	0.007	0.000
7.583	1.800	2.400	1.837	-0.005	0.067	0.003	-0.000
7.633	1.800	2.400	1.847	0.005	0.201	0.010	0.000
7.683	1.800	2.400	1.850	-0.005	0.067	0.003	-0.000
7.733	1.800	2.400	1.860	0.005	0.201	0.010	0.000
7.786	1.800	2.400	1.864	-0.004	0.064	0.003	-0.000
7.836	1.800	2.400	1.867	0.005	0.067	0.003	0.000
7.886	1.800	2.400	1.874	0.000	0.134	0.007	0.000
7.936	1.800	2.400	1.880	0.009	0.134	0.007	0.000
7.986	1.800	2.400	1.891	-0.005	0.201	0.010	-0.000
8.037	1.800	2.400	1.894	0.005	0.067	0.003	0.000
8.087	1.800	2.400	1.901	-0.009	0.134	0.007	-0.000
8.137	1.800	2.400	1.911	0.005	0.201	0.010	0.000
8.187	1.800	2.400	1.914	-0.005	0.067	0.003	-0.000
8.237	1.800	2.400	1.921	0.009	0.134	0.007	0.000
8.287	1.800	2.400	1.924	-0.005	0.067	0.003	-0.000
8.337	1.800	2.400	1.931	0.000	0.134	0.007	0.000
8.388	1.800	2.400	1.938	0.000	0.134	0.007	0.000
8.438	1.800	2.400	1.944	0.000	0.134	0.007	0.000
8.488	1.800	2.400	1.951	0.000	0.134	0.007	0.000
8.538	1.800	2.400	1.955	-0.005	0.067	0.003	-0.000
8.588	1.800	2.400	1.961	0.000	0.134	0.007	0.000
8.638	1.800	2.400	1.968	0.000	0.134	0.007	0.000
8.688	1.800	2.400	1.971	0.005	0.067	0.003	0.000
8.738	1.800	2.400	1.978	0.000	0.134	0.007	0.000
8.789	1.800	2.400	1.981	-0.005	0.067	0.003	-0.000
8.839	1.800	2.400	1.992	0.005	0.201	0.010	0.000
8.889	1.800	2.400	1.995	-0.005	0.067	0.003	-0.000
8.939	1.800	2.400	2.005	0.005	0.201	0.010	0.000
8.989	1.800	2.400	2.008	-0.005	0.067	0.003	-0.000
9.040	1.800	2.400	2.018	0.005	0.201	0.010	0.000
9.090	1.800	2.400	2.022	-0.005	0.067	0.003	-0.000
9.140	1.800	2.400	2.029	0.000	0.134	0.007	0.000
9.190	1.800	2.400	2.035	0.000	0.134	0.007	0.000
9.240	1.800	2.400	2.039	0.005	0.067	0.003	0.000
9.291	1.800	2.400	2.045	0.000	0.134	0.007	0.000
9.341	1.800	2.400	2.052	0.000	0.134	0.007	0.000
9.391	1.800	2.400	2.059	0.000	0.134	0.007	0.000
9.441	1.800	2.400	2.062	-0.005	0.067	0.003	-0.000
9.491	1.800	2.400	2.076	0.000	0.268	0.013	0.000
9.541	1.800	2.400	2.076	0.000	0.000	0.000	0.000
9.592	1.800	2.400	2.086	0.005	0.201	0.010	0.000
9.642	1.800	2.400	2.086	0.000	0.000	0.000	0.000
9.692	1.800	2.400	2.093	0.000	0.134	0.007	0.000
9.742	1.800	2.400	2.099	0.000	0.134	0.007	0.000
9.793	1.800	2.400	2.106	0.000	0.134	0.007	0.000
9.843	1.800	2.400	2.116	-0.005	0.201	0.010	-0.000
9.893	1.800	2.400	2.116	0.000	0.000	0.000	0.000
