t	x	y	th	v	w	dTh	dSi
5.051	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.101	0.600	2.600	-1.578	0.000	-0.134	-0.007	0.000
5.152	0.600	2.600	-1.615	0.005	-0.738	-0.037	0.000
5.202	0.600	2.600	-1.645	-0.005	-0.603	-0.030	-0.000
5.252	0.600	2.600	-1.679	-0.009	-0.671	-0.034	-0.000
5.302	0.600	2.600	-1.712	0.000	-0.671	-0.034	0.000
5.352	0.600	2.600	-1.753	0.000	-0.805	-0.040	0.000
5.402	0.600	2.601	-1.790	-0.005	-0.738	-0.037	-0.000
5.453	0.600	2.601	-1.830	0.000	-0.806	-0.040	0.000
5.503	0.600	2.601	-1.867	-0.005	-0.738	-0.037	-0.000
5.553	0.600	2.601	-1.904	-0.005	-0.738	-0.037	-0.000
5.603	0.600	2.601	-1.944	0.000	-0.805	-0.040	0.000
5.653	0.600	2.601	-1.981	0.005	-0.738	-0.037	0.000
5.703	0.600	2.601	-2.018	-0.005	-0.738	-0.037	-0.000
5.753	0.600	2.601	-2.055	0.005	-0.738	-0.037	0.000
5.804	0.600	2.601	-2.096	0.000	-0.805	-0.040	0.000
5.854	0.600	2.601	-2.133	-0.005	-0.738	-0.037	-0.000
5.904	0.600	2.601	-2.170	0.005	-0.738	-0.037	0.000
5.954	0.600	2.601	-2.210	0.000	-0.805	-0.040	0.000
6.004	0.600	2.601	-2.251	0.000	-0.806	-0.040	0.000
6.054	0.600	2.601	-2.291	0.000	-0.805	-0.040	0.000
6.105	0.600	2.601	-2.325	0.000	-0.671	-0.034	0.000
6.155	0.600	2.601	-2.369	0.005	-0.872	-0.044	0.000
6.205	0.600	2.601	-2.406	-0.005	-0.738	-0.037	-0.000
6.255	0.600	2.601	-2.443	0.005	-0.738	-0.037	0.000
6.305	0.600	2.601	-2.483	0.000	-0.805	-0.040	0.000
6.355	0.600	2.601	-2.523	0.000	-0.805	-0.040	0.000
6.406	0.600	2.601	-2.557	0.000	-0.671	-0.034	0.000
6.456	0.600	2.601	-2.597	0.000	-0.805	-0.040	0.000
6.506	0.600	2.601	-2.638	0.000	-0.806	-0.040	0.000
6.556	0.600	2.601	-2.678	0.000	-0.805	-0.040	0.000
6.606	0.600	2.601	-2.719	0.000	-0.805	-0.040	0.000
6.657	0.600	2.601	-2.752	0.000	-0.667	-0.034	0.000
6.707	0.600	2.601	-2.796	0.005	-0.873	-0.044	0.000
6.757	0.600	2.601	-2.836	0.000	-0.805	-0.040	0.000
6.807	0.600	2.601	-2.873	-0.005	-0.738	-0.037	-0.000
6.857	0.600	2.601	-2.914	0.000	-0.805	-0.040	0.000
6.907	0.600	2.601	-2.951	0.005	-0.738	-0.037	0.000
6.958	0.600	2.601	-2.991	0.000	-0.805	-0.040	0.000
7.008	0.600	2.601	-3.028	-0.005	-0.738	-0.037	-0.000
7.058	0.600	2.601	-3.069	0.000	-0.805	-0.040	0.000
7.108	0.600	2.601	-3.109	0.000	-0.805	-0.040	0.000
7.158	0.600	2.601	3.134	0.000	-0.805	-0.040	0.000
7.208	0.597	2.601	3.114	0.056	-0.403	-0.020	0.003
7.259	0.591	2.601	3.120	0.130	0.133	0.007	0.007
7.309	0.583	2.601	3.130	0.155	0.201	0.010	0.008
7.359	0.575	2.601	-3.136	0.165	0.336	0.017	0.008
7.409	0.567	2.601	-3.116	0.160	0.403	0.020	0.008
7.460	0.559	2.601	-3.096	0.160	0.403	0.020	0.008
7.510	0.551	2.600	-3.072	0.146	0.470	0.024	0.007
7.560	0.543	2.600	-3.055	0.155	0.336	0.017	0.008
7.610	0.535	2.599	-3.035	0.160	0.403	0.020	0.008
7.660	0.528	2.598	-3.015	0.150	0.403	0.020	0.008
7.710	0.520	2.597	-2.995	0.160	0.403	0.020	0.008
7.760	0.513	2.596	-2.974	0.150	0.403	0.020	0.008
7.810	0.505	2.594	-2.951	0.155	0.470	0.024	0.008
7.860	0.498	2.593	-2.934	0.146	0.336	0.017	0.007
7.911	0.490	2.591	-2.914	0.160	0.403	0.020	0.008
7.961	0.483	2.589	-2.897	0.146	0.336	0.017	0.007
8.011	0.475	2.588	-2.880	0.155	0.335	0.017	0.008
8.061	0.468	2.585	-2.863	0.155	0.336	0.017	0.008
8.111	0.460	2.583	-2.843	0.160	0.402	0.020	0.008
8.161	0.453	2.581	-2.820	0.155	0.469	0.024	0.008
8.212	0.445	2.578	-2.799	0.159	0.401	0.020	0.008
8.262	0.438	2.575	-2.779	0.160	0.403	0.020	0.008
8.312	0.431	2.573	-2.759	0.150	0.403	0.020	0.008
8.362	0.423	2.570	-2.742	0.155	0.336	0.017	0.008
8.412	0.416	2.567	-2.722	0.160	0.403	0.020	0.008
8.463	0.409	2.563	-2.702	0.160	0.403	0.020	0.008
8.513	0.402	2.560	-2.685	0.155	0.336	0.017	0.008
8.563	0.395	2.556	-2.668	0.155	0.335	0.017	0.008
8.613	0.388	2.553	-2.648	0.160	0.402	0.020	0.008
8.663	0.381	2.549	-2.631	0.155	0.335	0.017	0.008
8.713	0.374	2.545	-2.611	0.150	0.403	0.020	0.008
8.772	0.366	2.540	-2.584	0.162	0.462	0.027	0.009
8.822	0.360	2.536	-2.567	0.146	0.336	0.017	0.007
8.872	0.354	2.532	-2.550	0.146	0.336	0.017	0.007
8.922	0.348	2.528	-2.537	0.150	0.268	0.013	0.008
8.972	0.341	2.523	-2.517	0.160	0.403	0.020	0.008
9.023	0.335	2.519	-2.496	0.150	0.403	0.020	0.008
9.073	0.329	2.514	-2.473	0.164	0.470	0.024	0.008
9.123	0.323	2.509	-2.443	0.146	0.604	0.030	0.007
9.173	0.317	2.504	-2.422	0.160	0.403	0.020	0.008
9.223	0.311	2.499	-2.409	0.160	0.268	0.013	0.008
9.273	0.305	2.494	-2.389	0.150	0.403	0.020	0.008
9.323	0.300	2.488	-2.369	0.160	0.403	0.020	0.008
9.374	0.294	2.483	-2.352	0.155	0.336	0.017	0.008
9.424	0.289	2.477	-2.335	0.155	0.335	0.017	0.008
9.474	0.283	2.471	-2.311	0.155	0.470	0.024	0.008
9.524	0.278	2.465	-2.291	0.160	0.403	0.020	0.008
9.574	0.273	2.460	-2.271	0.150	0.403	0.020	0.008
9.624	0.268	2.454	-2.251	0.160	0.403	0.020	0.008
9.675	0.263	2.447	-2.234	0.155	0.335	0.017	0.008
9.725	0.258	2.441	-2.217	0.155	0.336	0.017	0.008
9.775	0.254	2.435	-2.197	0.150	0.403	0.020	0.008
9.825	0.250	2.429	-2.183	0.150	0.268	0.013	0.008
9.875	0.245	2.422	-2.163	0.160	0.403	0.020	0.008
9.925	0.241	2.416	-2.146	0.155	0.335	0.017	0.008
9.976	0.236	2.409	-2.130	0.164	0.335	0.017	0.008
10.026	0.232	2.402	-2.106	0.155	0.470	0.024	0.008
10.076	0.229	2.396	-2.086	0.150	0.402	0.020	0.008
10.126	0.225	2.389	-2.062	0.155	0.470	0.024	0.008
10.176	0.221	2.382	-2.045	0.155	0.336	0.017	0.008
10.226	0.218	2.375	-2.025	0.150	0.403	0.020	0.008
10.277	0.214	2.368	-2.005	0.160	0.403	0.020	0.008
10.327	0.211	2.361	-1.988	0.155	0.336	0.017	0.008
10.377	0.208	2.354	-1.965	0.155	0.470	0.024	0.008
10.427	0.205	2.347	-1.944	0.150	0.403	0.020	0.008
10.477	0.202	2.340	-1.924	0.160	0.403	0.020	0.008
10.527	0.200	2.332	-1.904	0.150	0.403	0.020	0.008
10.577	0.197	2.325	-1.884	0.150	0.403	0.020	0.008
10.627	0.195	2.318	-1.864	0.160	0.403	0.020	0.008
10.677	0.193	2.310	-1.843	0.160	0.403	0.020	0.008
10.728	0.191	2.303	-1.830	0.150	0.269	0.013	0.008
10.778	0.189	2.296	-1.813	0.146	0.336	0.017	0.007
10.828	0.187	2.288	-1.793	0.150	0.403	0.020	0.008
10.878	0.186	2.281	-1.776	0.155	0.336	0.017	0.008
10.928	0.184	2.273	-1.756	0.160	0.403	0.020	0.008
10.978	0.183	2.265	-1.732	0.164	0.470	0.024	0.008
11.028	0.181	2.257	-1.712	0.160	0.402	0.020	0.008
11.079	0.180	2.249	-1.692	0.150	0.403	0.020	0.008
11.129	0.180	2.241	-1.672	0.160	0.403	0.020	0.008
11.179	0.179	2.234	-1.655	0.155	0.335	0.017	0.008
11.229	0.178	2.226	-1.638	0.155	0.335	0.017	0.008
11.279	0.178	2.218	-1.618	0.160	0.403	0.020	0.008
11.329	0.178	2.210	-1.598	0.160	0.402	0.020	0.008
11.380	0.177	2.202	-1.581	0.155	0.336	0.017	0.008
11.430	0.177	2.194	-1.557	0.155	0.469	0.024	0.008
11.480	0.178	2.187	-1.537	0.150	0.403	0.020	0.008
11.530	0.178	2.179	-1.517	0.150	0.402	0.020	0.008
11.580	0.178	2.171	-1.500	0.155	0.335	0.017	0.008
11.630	0.179	2.164	-1.483	0.155	0.335	0.017	0.008
11.681	0.180	2.156	-1.463	0.150	0.403	0.020	0.008
11.731	0.181	2.149	-1.446	0.146	0.335	0.017	0.007
11.781	0.182	2.141	-1.426	0.160	0.403	0.020	0.008
11.831	0.183	2.134	-1.406	0.150	0.402	0.020	0.008
11.881	0.184	2.125	-1.382	0.164	0.470	0.024	0.008
11.932	0.186	2.118	-1.362	0.160	0.402	0.020	0.008
11.982	0.188	2.110	-1.339	0.155	0.469	0.024	0.008
12.032	0.189	2.102	-1.322	0.155	0.335	0.017	0.008
12.082	0.191	2.095	-1.305	0.155	0.335	0.017	0.008
12.132	0.194	2.087	-1.285	0.160	0.402	0.020	0.008
12.183	0.196	2.080	-1.264	0.150	0.402	0.020	0.008
12.233	0.198	2.073	-1.248	0.155	0.335	0.017	0.008
12.283	0.201	2.065	-1.224	0.155	0.469	0.024	0.008
12.333	0.204	2.058	-1.204	0.160	0.402	0.020	0.008
12.383	0.206	2.050	-1.187	0.155	0.336	0.017	0.008
