t	x	y	th	v	w	dTh	dSi
5.050	1.800	2.400	3.142	0.000	0.000	0.000	0.000
5.101	1.800	2.400	3.142	0.000	0.000	0.000	0.000
5.151	1.800	2.400	3.142	0.000	0.000	0.000	0.000
5.201	1.800	2.400	-3.128	0.000	0.269	0.013	0.000
5.251	1.800	2.400	-3.121	0.000	0.134	0.007	0.000
5.301	1.797	2.400	-3.115	0.056	0.134	0.007	0.003
5.351	1.792	2.400	-3.108	0.094	0.134	0.007	0.005
5.402	1.787	2.400	-3.105	0.118	0.067	0.003	0.006
5.452	1.780	2.399	-3.101	0.127	0.067	0.003	0.006
5.502	1.774	2.399	-3.101	0.132	0.000	0.000	0.007
5.552	1.767	2.399	-3.101	0.132	0.000	0.000	0.007
5.602	1.761	2.399	-3.101	0.113	0.000	0.000	0.006
5.652	1.758	2.398	-3.101	0.075	0.000	0.000	0.004
5.702	1.757	2.398	-3.101	0.019	0.000	0.000	0.001
5.753	1.757	2.398	-3.101	0.000	0.000	0.000	0.000
5.803	1.757	2.398	-3.101	0.000	0.000	0.000	0.000
5.853	1.757	2.398	-3.105	-0.005	-0.067	-0.003	-0.000
5.903	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
5.953	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.004	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.054	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.104	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.163	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.213	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.263	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.313	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.364	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.414	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.464	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.514	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.564	1.757	2.398	-3.105	0.000	0.000	0.000	0.000
6.614	1.757	2.398	-3.101	0.005	0.067	0.003	0.000
6.665	1.757	2.398	-3.101	0.000	0.000	0.000	0.000
6.715	1.757	2.398	-3.101	0.000	0.000	0.000	0.000
6.765	1.756	2.398	-3.094	0.009	0.134	0.007	0.000
6.815	1.756	2.398	-3.091	0.005	0.067	0.003	0.000
6.865	1.756	2.398	-3.084	0.000	0.134	0.007	0.000
6.915	1.756	2.398	-3.078	0.000	0.134	0.007	0.000
6.965	1.756	2.398	-3.068	-0.005	0.201	0.010	-0.000
7.016	1.756	2.398	-3.061	0.000	0.134	0.007	0.000
7.066	1.756	2.398	-3.054	0.000	0.134	0.007	0.000
7.116	1.756	2.398	-3.047	0.000	0.134	0.007	0.000
7.166	1.756	2.398	-3.044	0.005	0.067	0.003	0.000
7.217	1.756	2.398	-3.034	0.005	0.201	0.010	0.000
7.267	1.756	2.398	-3.034	0.000	0.000	0.000	0.000
7.317	1.756	2.398	-3.020	0.000	0.269	0.013	0.000
7.367	1.756	2.398	-3.014	0.000	0.134	0.007	0.000
7.417	1.756	2.398	-3.007	0.000	0.134	0.007	0.000
7.467	1.756	2.398	-2.993	0.000	0.269	0.013	0.000
7.518	1.756	2.398	-2.990	-0.005	0.067	0.003	-0.000
7.568	1.756	2.398	-2.980	0.005	0.201	0.010	0.000
7.618	1.756	2.398	-2.973	0.000	0.134	0.007	0.000
7.668	1.756	2.398	-2.967	0.000	0.134	0.007	0.000
7.718	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
7.768	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
7.818	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
7.869	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
7.919	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
7.969	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.019	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.069	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.119	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.170	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.220	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.270	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.320	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.371	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.421	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.471	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.521	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.571	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.622	1.756	2.398	-2.967	0.000	0.000	0.000	0.000
8.672	1.756	2.398	-2.963	-0.005	0.067	0.003	-0.000
8.722	1.756	2.398	-2.960	0.005	0.067	0.003	0.000
8.772	1.756	2.398	-2.953	0.000	0.134	0.007	0.000
8.823	1.756	2.398	-2.943	0.005	0.201	0.010	0.000
8.873	1.756	2.398	-2.933	-0.005	0.201	0.010	-0.000
8.923	1.756	2.398	-2.926	0.000	0.134	0.007	0.000
8.973	1.756	2.398	-2.913	0.000	0.268	0.013	0.000
9.023	1.756	2.398	-2.913	0.000	0.000	0.000	0.000
