t	x	y	th	v	w	dTh	dSi
5.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.094	0.000	0.000	0.010	0.005	0.201	0.010	0.000
5.144	0.000	0.000	0.040	0.005	0.604	0.030	0.000
5.194	0.000	-0.000	0.071	-0.005	0.604	0.030	-0.000
5.246	0.000	-0.000	0.111	0.000	0.780	0.040	0.000
5.296	0.000	-0.000	0.151	0.000	0.804	0.040	0.000
5.346	0.000	-0.000	0.192	0.000	0.805	0.040	0.000
5.396	0.000	0.000	0.229	0.005	0.738	0.037	0.000
5.447	0.000	0.000	0.269	0.000	0.805	0.040	0.000
5.497	0.000	0.000	0.310	0.000	0.805	0.040	0.000
5.547	0.000	-0.000	0.347	-0.005	0.738	0.037	-0.000
5.597	0.000	-0.000	0.380	0.000	0.671	0.034	0.000
5.647	0.000	-0.000	0.421	0.000	0.805	0.040	0.000
5.697	0.000	-0.000	0.461	0.000	0.805	0.040	0.000
5.748	0.000	0.000	0.498	0.005	0.738	0.037	0.000
5.798	0.000	0.000	0.539	0.000	0.806	0.040	0.000
5.848	0.000	-0.000	0.576	-0.005	0.738	0.037	-0.000
5.898	0.000	-0.000	0.616	0.000	0.806	0.040	0.000
5.948	0.000	-0.000	0.653	-0.005	0.738	0.037	-0.000
5.998	0.000	-0.000	0.690	0.005	0.738	0.037	0.000
6.048	0.000	-0.000	0.730	0.000	0.806	0.040	0.000
6.099	0.000	-0.000	0.771	0.000	0.806	0.040	0.000
6.149	0.000	-0.000	0.811	0.000	0.805	0.040	0.000
6.199	0.000	-0.000	0.852	0.000	0.806	0.040	0.000
6.249	0.000	0.000	0.889	0.005	0.739	0.037	0.000
6.299	0.000	0.000	0.929	0.000	0.806	0.040	0.000
6.349	0.000	0.000	0.963	0.000	0.671	0.034	0.000
6.399	0.000	-0.000	1.000	-0.005	0.738	0.037	-0.000
6.450	0.000	-0.000	1.040	0.000	0.805	0.040	0.000
6.500	0.000	-0.000	1.080	0.000	0.806	0.040	0.000
6.550	0.000	-0.000	1.121	0.000	0.805	0.040	0.000
6.600	0.000	-0.000	1.155	0.000	0.671	0.034	0.000
6.650	0.000	-0.000	1.195	0.000	0.806	0.040	0.000
6.700	0.000	-0.000	1.229	0.000	0.672	0.034	0.000
6.750	0.000	-0.000	1.269	0.000	0.805	0.040	0.000
6.801	0.000	-0.000	1.309	0.000	0.806	0.040	0.000
6.851	0.000	-0.000	1.350	0.000	0.805	0.040	0.000
6.901	0.000	-0.000	1.390	0.000	0.805	0.040	0.000
6.951	0.000	-0.000	1.427	-0.005	0.739	0.037	-0.000
7.001	0.000	-0.000	1.461	0.000	0.671	0.034	0.000
7.051	0.000	-0.000	1.501	0.000	0.805	0.040	0.000
7.101	0.000	-0.001	1.538	-0.005	0.738	0.037	-0.000
7.152	0.000	-0.001	1.572	0.000	0.671	0.034	0.000
7.202	0.000	-0.001	1.612	0.000	0.805	0.040	0.000
7.252	0.000	-0.001	1.653	0.000	0.806	0.040	0.000
7.302	0.000	-0.001	1.686	0.000	0.672	0.034	0.000
7.352	0.000	-0.001	1.723	-0.005	0.739	0.037	-0.000
7.402	0.000	-0.001	1.760	-0.005	0.739	0.037	-0.000
7.452	0.000	-0.001	1.794	0.000	0.672	0.034	0.000
7.502	0.000	-0.001	1.834	0.000	0.806	0.040	0.000
7.553	0.000	-0.001	1.875	0.000	0.806	0.040	0.000
7.603	0.000	-0.001	1.912	-0.005	0.739	0.037	-0.000
7.653	0.000	-0.001	1.949	0.005	0.739	0.037	0.000
7.703	0.000	-0.001	1.989	0.000	0.806	0.040	0.000
7.753	0.000	-0.001	2.023	0.000	0.672	0.034	0.000
7.803	0.000	-0.001	2.063	0.000	0.806	0.040	0.000
7.853	0.000	-0.001	2.104	0.000	0.806	0.040	0.000
7.903	0.000	-0.001	2.141	0.005	0.739	0.037	0.000
7.953	0.000	-0.001	2.181	0.000	0.806	0.040	0.000
8.004	0.000	-0.001	2.218	-0.005	0.739	0.037	-0.000
8.054	0.000	-0.001	2.255	0.005	0.739	0.037	0.000
8.104	0.000	-0.001	2.296	0.000	0.806	0.040	0.000
8.154	0.000	-0.001	2.336	0.000	0.806	0.040	0.000
8.204	0.000	-0.001	2.376	0.000	0.805	0.040	0.000
8.254	-0.000	-0.000	2.417	0.009	0.805	0.040	0.000
8.304	-0.000	-0.000	2.457	0.000	0.805	0.040	0.000
8.355	-0.000	-0.000	2.494	0.005	0.738	0.037	0.000
8.405	-0.000	-0.000	2.535	0.000	0.805	0.040	0.000
8.455	-0.000	-0.000	2.575	0.000	0.805	0.040	0.000
8.505	-0.000	-0.000	2.615	0.000	0.806	0.040	0.000
8.555	-0.000	-0.000	2.649	0.000	0.671	0.034	0.000
8.605	-0.000	-0.000	2.693	-0.005	0.873	0.044	-0.000
8.656	-0.000	-0.000	2.730	0.005	0.738	0.037	0.000
8.706	-0.000	-0.000	2.770	0.000	0.805	0.040	0.000
8.756	-0.000	-0.000	2.807	-0.005	0.738	0.037	-0.000
8.806	-0.000	-0.000	2.844	0.005	0.738	0.037	0.000
8.856	-0.000	-0.000	2.885	0.000	0.805	0.040	0.000
8.906	-0.001	-0.000	2.922	0.005	0.738	0.037	0.000
8.957	-0.000	-0.000	2.962	-0.009	0.804	0.040	-0.000
9.007	-0.000	-0.000	3.002	0.000	0.805	0.040	0.000
9.057	-0.000	-0.000	3.039	0.005	0.738	0.037	0.000
9.107	-0.000	-0.000	3.077	-0.005	0.739	0.037	-0.000
9.157	-0.000	-0.000	3.114	0.005	0.738	0.037	0.000
9.207	-0.000	-0.000	-3.129	0.000	0.806	0.040	0.000
9.257	-0.000	-0.000	-3.089	0.000	0.806	0.040	0.000
9.308	-0.000	-0.000	-3.048	0.000	0.806	0.040	0.000
9.358	-0.000	-0.000	-3.008	0.000	0.806	0.040	0.000
9.408	-0.000	-0.000	-2.968	0.000	0.806	0.040	0.000
9.458	-0.001	-0.000	-2.931	0.005	0.739	0.037	0.000
9.508	-0.000	-0.000	-2.894	-0.005	0.738	0.037	-0.000
9.558	-0.001	-0.000	-2.857	0.005	0.738	0.037	0.000
9.608	-0.001	-0.000	-2.816	0.000	0.806	0.040	0.000
9.659	-0.000	-0.000	-2.779	-0.005	0.738	0.037	-0.000
9.709	-0.000	-0.000	-2.739	0.000	0.805	0.040	0.000
9.759	-0.000	-0.000	-2.698	0.000	0.805	0.040	0.000
9.809	-0.000	-0.000	-2.665	0.000	0.671	0.034	0.000
9.859	-0.000	-0.000	-2.624	0.000	0.806	0.040	0.000
9.909	-0.000	-0.000	-2.591	0.000	0.671	0.034	0.000
9.959	-0.000	-0.000	-2.550	0.000	0.806	0.040	0.000
10.010	-0.000	-0.000	-2.510	0.000	0.806	0.040	0.000
10.060	-0.000	-0.000	-2.470	0.000	0.806	0.040	0.000
10.110	-0.000	-0.000	-2.429	0.000	0.806	0.040	0.000
10.160	-0.000	-0.000	-2.392	-0.005	0.738	0.037	-0.000
10.210	-0.000	-0.000	-2.358	0.000	0.671	0.034	0.000
10.260	-0.000	-0.000	-2.318	0.000	0.805	0.040	0.000
10.310	0.000	0.000	-2.284	-0.009	0.671	0.034	-0.000
10.361	-0.000	-0.000	-2.247	0.005	0.738	0.037	0.000
10.411	-0.000	-0.000	-2.207	0.000	0.806	0.040	0.000
10.461	-0.000	-0.000	-2.167	0.000	0.805	0.040	0.000
10.511	0.000	0.000	-2.133	-0.009	0.671	0.034	-0.000
10.561	0.000	0.000	-2.096	0.005	0.738	0.037	0.000
10.611	0.000	0.000	-2.062	0.000	0.671	0.034	0.000
10.661	0.000	0.000	-2.025	-0.005	0.739	0.037	-0.000
10.712	0.000	0.000	-1.985	0.000	0.805	0.040	0.000
10.762	0.000	0.000	-1.944	0.000	0.806	0.040	0.000
10.812	0.000	0.000	-1.904	0.000	0.806	0.040	0.000
10.862	0.000	0.000	-1.867	0.005	0.738	0.037	0.000
10.912	0.000	0.000	-1.830	-0.005	0.738	0.037	-0.000
10.962	0.000	0.000	-1.796	0.000	0.671	0.034	0.000
11.013	0.000	0.000	-1.756	0.000	0.806	0.040	0.000
11.063	0.000	0.000	-1.716	0.000	0.806	0.040	0.000
11.113	0.000	0.000	-1.675	0.000	0.805	0.040	0.000
11.163	0.000	0.000	-1.638	0.005	0.738	0.037	0.000
11.213	0.000	-0.000	-1.601	0.005	0.738	0.037	0.000
11.263	0.000	-0.000	-1.561	0.000	0.806	0.040	0.000
11.313	0.000	-0.000	-1.520	0.000	0.806	0.040	0.000
11.364	0.000	0.000	-1.483	-0.005	0.738	0.037	-0.000
11.414	0.000	-0.000	-1.440	0.005	0.873	0.044	0.000
11.464	0.000	-0.000	-1.402	0.005	0.738	0.037	0.000
11.514	0.000	-0.000	-1.362	0.000	0.806	0.040	0.000
11.564	0.000	-0.000	-1.322	0.000	0.806	0.040	0.000
11.614	0.000	-0.001	-1.285	0.005	0.738	0.037	0.000
11.664	0.000	-0.001	-1.244	0.000	0.806	0.040	0.000
11.715	0.000	-0.000	-1.207	-0.005	0.738	0.037	-0.000
11.765	0.000	-0.001	-1.164	0.005	0.873	0.044	0.000
11.815	0.000	-0.000	-1.126	-0.005	0.738	0.037	-0.000
11.865	0.000	-0.001	-1.089	0.005	0.738	0.037	0.000
11.915	0.000	-0.001	-1.049	0.000	0.805	0.040	0.000
11.965	0.000	-0.001	-1.009	0.000	0.805	0.040	0.000
12.015	0.000	-0.001	-0.975	0.000	0.671	0.034	0.000
12.066	0.000	-0.001	-0.935	0.000	0.805	0.040	0.000
12.116	0.000	-0.001	-0.894	0.000	0.805	0.040	0.000
12.166	0.000	-0.001	-0.857	0.005	0.738	0.037	0.000
12.216	0.000	-0.001	-0.817	0.000	0.805	0.040	0.000
12.266	0.000	-0.001	-0.780	-0.005	0.738	0.037	-0.000
12.316	0.000	-0.001	-0.739	0.000	0.806	0.040	0.000
12.367	0.000	-0.001	-0.699	0.000	0.805	0.040	0.000
12.417	0.000	-0.001	-0.659	0.000	0.805	0.040	0.000
12.467	0.000	-0.001	-0.625	0.000	0.671	0.034	0.000
12.517	0.000	-0.001	-0.585	0.000	0.805	0.040	0.000
12.567	0.000	-0.001	-0.544	0.000	0.805	0.040	0.000
12.618	0.000	-0.001	-0.504	0.000	0.801	0.040	0.000
12.668	0.000	-0.001	-0.467	0.005	0.738	0.037	0.000
12.718	0.000	-0.001	-0.426	0.000	0.805	0.040	0.000
12.768	0.000	-0.001	-0.386	0.000	0.805	0.040	0.000
12.818	0.000	-0.001	-0.349	-0.005	0.738	0.037	-0.000
12.868	0.000	-0.001	-0.315	0.000	0.671	0.034	0.000
12.919	0.000	-0.001	-0.275	0.000	0.805	0.040	0.000
12.969	0.000	-0.001	-0.234	0.000	0.805	0.040	0.000
13.019	0.000	-0.001	-0.197	0.005	0.738	0.037	0.000
13.069	0.000	-0.001	-0.160	-0.005	0.738	0.037	-0.000
13.119	0.000	-0.001	-0.120	0.000	0.805	0.040	0.000
13.169	0.000	-0.001	-0.080	0.000	0.805	0.040	0.000
13.219	0.000	-0.001	-0.043	-0.005	0.738	0.037	-0.000
13.270	0.000	-0.001	-0.006	0.005	0.738	0.037	0.000
13.320	0.000	-0.001	0.031	-0.005	0.738	0.037	-0.000
13.370	-0.000	-0.001	0.068	-0.005	0.737	0.037	-0.000
13.420	-0.000	-0.001	0.109	0.000	0.801	0.040	0.000
13.471	0.000	-0.001	0.146	0.005	0.737	0.037	0.000
13.521	-0.000	-0.001	0.180	-0.009	0.671	0.034	-0.000
13.571	-0.000	-0.001	0.217	0.005	0.738	0.037	0.000
13.621	-0.000	-0.001	0.257	0.000	0.805	0.040	0.000
13.671	-0.001	-0.001	0.291	-0.009	0.671	0.034	-0.000
13.721	-0.001	-0.001	0.331	0.000	0.805	0.040	0.000
13.772	-0.001	-0.001	0.365	0.000	0.671	0.034	0.000
13.822	-0.001	-0.001	0.405	0.000	0.806	0.040	0.000
13.872	-0.001	-0.001	0.439	0.000	0.671	0.034	0.000
13.922	-0.001	-0.001	0.479	0.000	0.806	0.040	0.000
13.972	-0.001	-0.001	0.519	0.000	0.805	0.040	0.000
14.022	-0.001	-0.001	0.560	0.000	0.805	0.040	0.000
14.073	-0.001	-0.001	0.590	-0.005	0.604	0.030	-0.000
14.123	-0.001	-0.001	0.627	0.005	0.738	0.037	0.000
14.173	-0.001	-0.001	0.668	0.000	0.805	0.040	0.000
14.223	-0.001	-0.001	0.705	-0.005	0.738	0.037	-0.000
14.273	-0.001	-0.001	0.745	0.000	0.805	0.040	0.000
14.323	-0.001	-0.001	0.782	-0.005	0.738	0.037	-0.000
14.374	-0.001	-0.001	0.822	0.009	0.805	0.040	0.000
14.424	-0.001	-0.001	0.866	0.005	0.871	0.044	0.000
14.474	-0.001	-0.001	0.907	0.000	0.805	0.040	0.000
14.524	-0.001	-0.001	0.947	0.000	0.805	0.040	0.000
14.574	-0.000	-0.000	0.984	0.005	0.738	0.037	0.000
14.624	-0.000	-0.000	1.024	0.000	0.806	0.040	0.000
14.675	-0.000	-0.000	1.065	0.000	0.805	0.040	0.000
14.725	-0.000	-0.000	1.102	0.005	0.738	0.037	0.000
14.775	-0.000	0.000	1.146	0.005	0.872	0.044	0.000
14.825	-0.000	-0.000	1.183	-0.005	0.739	0.037	-0.000
14.875	-0.000	-0.000	1.223	0.000	0.805	0.040	0.000
