t	x	y	th	v*100	w	dTh	dSi
t	x	y	th	v*100	w	dTh	dSi
0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.06	0.00	0.00	0.01	0.00	0.27	0.01	0.00
0.11	0.00	0.00	0.05	0.00	0.81	0.04	0.00
0.16	0.00	0.00	0.11	0.00	1.21	0.06	0.00
0.21	0.00	0.00	0.19	0.47	1.54	0.08	0.00
0.26	0.00	-0.00	0.28	-0.47	1.68	0.08	-0.00
0.31	0.00	-0.00	0.36	0.00	1.61	0.08	0.00
0.37	0.00	-0.00	0.44	0.00	1.61	0.08	0.00
0.42	0.00	0.00	0.51	0.47	1.55	0.08	0.00
0.47	0.00	0.00	0.59	0.00	1.48	0.07	0.00
0.52	0.00	0.00	0.66	0.00	1.48	0.07	0.00
0.57	0.00	0.00	0.74	0.00	1.61	0.08	0.00
0.62	0.00	0.00	0.82	0.47	1.54	0.08	0.00
0.67	0.00	0.00	0.90	0.00	1.61	0.08	0.00
0.72	0.00	0.00	0.98	0.00	1.48	0.07	0.00
0.77	0.00	0.00	1.06	0.00	1.61	0.08	0.00
0.82	0.00	0.00	1.13	0.00	1.48	0.07	0.00
0.87	0.00	0.00	1.21	0.00	1.61	0.08	0.00
0.92	0.00	0.00	1.28	0.47	1.41	0.07	0.00
0.97	0.00	0.00	1.36	-0.47	1.54	0.08	-0.00
1.02	0.00	0.00	1.44	0.00	1.61	0.08	0.00
1.07	0.00	-0.00	1.51	-0.94	1.48	0.07	-0.00
1.12	0.00	-0.00	1.59	-0.47	1.54	0.08	-0.00
1.17	0.00	0.00	1.65	2.35	1.14	0.06	0.00
1.22	0.00	0.00	1.66	6.58	0.13	0.01	0.00
1.27	-0.00	0.01	1.65	7.05	-0.20	-0.01	0.00
1.32	-0.00	0.01	1.63	8.46	-0.27	-0.01	0.00
1.37	-0.00	0.02	1.62	8.93	-0.34	-0.02	0.00
1.42	-0.00	0.02	1.59	9.40	-0.54	-0.03	0.00
1.47	-0.00	0.03	1.57	9.40	-0.40	-0.02	0.00
1.52	-0.00	0.03	1.54	10.34	-0.54	-0.03	0.01
1.57	-0.00	0.04	1.52	10.34	-0.40	-0.02	0.01
1.62	-0.00	0.04	1.50	9.87	-0.47	-0.02	0.00
1.67	0.00	0.05	1.47	9.87	-0.47	-0.02	0.00
1.72	0.00	0.05	1.45	9.40	-0.54	-0.03	0.00
1.77	0.00	0.06	1.42	10.81	-0.47	-0.02	0.01
1.82	0.00	0.06	1.40	9.40	-0.54	-0.03	0.00
1.87	0.00	0.06	1.37	8.93	-0.47	-0.02	0.00
1.92	0.00	0.07	1.35	10.34	-0.40	-0.02	0.01
1.97	0.01	0.07	1.33	9.39	-0.54	-0.03	0.00
2.02	0.01	0.08	1.30	10.34	-0.54	-0.03	0.01
2.07	0.01	0.08	1.28	9.87	-0.47	-0.02	0.00
2.12	0.01	0.09	1.25	9.87	-0.60	-0.03	0.00
2.17	0.01	0.09	1.23	9.40	-0.40	-0.02	0.00
2.22	0.01	0.10	1.21	9.40	-0.40	-0.02	0.00
2.27	0.01	0.10	1.18	9.87	-0.47	-0.02	0.00
2.32	0.02	0.11	1.16	9.87	-0.47	-0.02	0.00
2.37	0.02	0.11	1.13	9.87	-0.47	-0.02	0.00
2.42	0.02	0.12	1.11	9.87	-0.47	-0.02	0.00
2.47	0.02	0.12	1.09	9.87	-0.47	-0.02	0.00
2.52	0.02	0.12	1.06	9.87	-0.47	-0.02	0.00
2.57	0.03	0.13	1.03	9.87	-0.60	-0.03	0.00
2.62	0.03	0.13	1.01	10.34	-0.54	-0.03	0.01
