t	x	y	th	v*100	w	dTh	dSi
0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.36	-0.00	-0.00	0.00	-0.47	0.07	0.00	-0.00
0.41	0.00	0.00	0.01	1.41	0.20	0.01	0.00
0.46	0.01	0.00	0.03	10.32	0.27	0.01	0.01
0.51	0.01	0.00	0.03	16.45	0.07	0.00	0.01
0.56	0.02	0.00	0.04	19.72	0.13	0.01	0.01
0.61	0.03	0.00	0.03	21.14	-0.07	-0.00	0.01
0.66	0.05	0.00	0.03	21.62	-0.13	-0.01	0.01
0.71	0.06	0.00	0.03	20.58	0.00	0.00	0.01
0.76	0.07	0.00	0.02	19.25	-0.07	-0.00	0.01
0.81	0.07	0.00	0.03	19.25	0.07	0.00	0.01
0.86	0.08	0.00	0.03	19.25	0.07	0.00	0.01
0.91	0.09	0.00	0.03	18.31	0.07	0.00	0.01
0.97	0.10	0.00	0.03	17.84	0.00	0.00	0.01
1.02	0.11	0.00	0.03	17.85	0.00	0.00	0.01
1.07	0.12	0.00	0.04	18.31	0.07	0.00	0.01
1.12	0.13	0.00	0.03	17.38	-0.07	-0.00	0.01
1.17	0.14	0.00	0.04	18.32	0.07	0.00	0.01
1.22	0.15	0.00	0.04	16.91	0.00	0.00	0.01
1.27	0.16	0.00	0.04	17.85	0.00	0.00	0.01
1.32	0.16	0.01	0.04	16.92	0.00	0.00	0.01
1.37	0.17	0.01	0.03	17.38	-0.07	-0.00	0.01
1.42	0.18	0.01	0.03	16.91	-0.13	-0.01	0.01
1.47	0.19	0.01	0.03	16.91	0.00	0.00	0.01
1.52	0.20	0.01	0.02	17.37	-0.07	-0.00	0.01
1.57	0.21	0.01	0.02	16.45	-0.07	-0.00	0.01
1.62	0.22	0.01	0.02	15.51	0.07	0.00	0.01
1.67	0.22	0.01	0.02	16.44	-0.07	-0.00	0.01
1.72	0.23	0.01	0.02	15.98	0.00	0.00	0.01
1.77	0.24	0.01	0.02	14.56	-0.07	-0.00	0.01
1.82	0.25	0.01	0.02	14.10	0.00	0.00	0.01
1.87	0.25	0.01	0.02	13.62	0.07	0.00	0.01
1.92	0.26	0.01	0.02	12.66	0.07	0.00	0.01
1.97	0.27	0.01	0.02	12.89	0.00	0.00	0.01
2.02	0.27	0.01	0.02	13.15	0.00	0.00	0.01
2.07	0.28	0.01	0.02	12.68	-0.07	-0.00	0.01
2.12	0.28	0.01	0.02	12.63	0.07	0.00	0.01
2.17	0.29	0.01	0.02	12.21	0.00	0.00	0.01
2.22	0.30	0.01	0.03	11.74	0.07	0.00	0.01
2.27	0.30	0.01	0.03	13.15	0.00	0.00	0.01
2.32	0.31	0.01	0.03	13.15	0.00	0.00	0.01
2.37	0.31	0.01	0.02	9.86	-0.07	-0.00	0.00
2.42	0.32	0.01	0.03	7.05	0.07	0.00	0.00
2.47	0.32	0.01	0.02	8.93	-0.07	-0.00	0.00
2.52	0.33	0.01	0.03	9.86	0.07	0.00	0.00
2.57	0.33	0.01	0.02	11.74	-0.07	-0.00	0.01
2.62	0.34	0.01	0.03	12.67	0.07	0.00	0.01
2.67	0.35	0.01	0.02	12.68	-0.07	-0.00	0.01
2.72	0.35	0.01	0.02	12.21	0.00	0.00	0.01
2.77	0.36	0.01	0.02	11.72	-0.07	-0.00	0.01
2.82	0.36	0.01	0.02	11.28	0.00	0.00	0.01
2.87	0.37	0.01	0.02	13.15	0.00	0.00	0.01
2.92	0.38	0.01	0.02	11.75	-0.07	-0.00	0.01
2.97	0.38	0.01	0.02	12.22	0.00	0.00	0.01
3.02	0.39	0.01	0.02	11.74	0.07	0.00	0.01
3.07	0.39	0.01	0.02	11.70	-0.07	-0.00	0.01
3.12	0.40	0.01	0.02	12.68	0.07	0.00	0.01
3.17	0.41	0.01	0.02	11.74	-0.07	-0.00	0.01
3.22	0.41	0.01	0.02	11.28	0.00	0.00	0.01
3.27	0.42	0.01	0.02	12.17	0.00	0.00	0.01
3.32	0.42	0.01	0.02	11.74	0.07	0.00	0.01
3.37	0.43	0.01	0.02	11.74	0.07	0.00	0.01
3.42	0.44	0.01	0.02	12.20	0.00	0.00	0.01
3.48	0.44	0.01	0.02	11.73	-0.07	-0.00	0.01
3.53	0.45	0.01	0.02	11.27	0.00	0.00	0.01
3.58	0.45	0.01	0.03	12.19	0.13	0.01	0.01
3.63	0.46	0.01	0.02	11.74	-0.07	-0.00	0.01
3.68	0.47	0.01	0.03	11.65	0.07	0.00	0.01
3.73	0.47	0.01	0.02	11.73	-0.07	-0.00	0.01
3.78	0.48	0.01	0.03	11.71	0.07	0.00	0.01
3.83	0.48	0.01	0.03	11.27	0.00	0.00	0.01
3.88	0.49	0.01	0.02	11.73	-0.07	-0.00	0.01
3.93	0.49	0.01	0.02	11.27	0.00	0.00	0.01
3.98	0.50	0.01	0.02	11.27	0.00	0.00	0.01
4.03	0.51	0.01	0.02	11.75	-0.07	-0.00	0.01
4.08	0.51	0.01	0.02	11.27	0.00	0.00	0.01
4.13	0.52	0.01	0.02	11.27	0.00	0.00	0.01
4.18	0.52	0.01	0.02	7.01	-0.07	-0.00	0.00
4.23	0.52	0.01	0.02	1.88	0.00	0.00	0.00
4.28	0.52	0.01	0.02	0.00	0.00	0.00	0.00
4.33	0.52	0.01	0.02	0.00	0.00	0.00	0.00
