t	x	y	th
0.006355	0.0	0.0	0.0
0.009559	0.0	0.0	0.0
0.011486	0.0	0.0	0.0
t	x	y	th
t	x	y	th
0.005024	0.0	0.0	0.0
0.00753	0.0	0.0	-0.00683052056060518
0.009502	0.006830203932350677	-6.576755546207923e-05	-0.012426744274200097
0.011597	0.012426035374756715	-0.00013202705124972403	-0.01125388301685959
0.01286	0.011253269959668001	-0.00011703338120795793	-0.014314492393157074
0.014076	0.014313470667074741	-0.00016704722596488174	-0.018369241311390283
t	x	y	th
t	x	y	th
0.005061	0.0	0.0	0.0
0.007454	0.0	0.0	-0.014505780479175279
0.008722	0.028364733371542484	-0.00034731043573712827	-0.009981887058005512
0.010885	-0.01234839260874276	4.755598171483216e-05	-0.009415004116958059
0.01314	-0.011848502703074443	3.9981992153820285e-05	-0.02088530796106447
0.01516	-2.5156498084634755	0.05244517278471885	-0.020969083765160157
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
0.005055	0.0014186036160224705	0.0	0.0
0.007449	0.008768534162020896	0.0	0.0
0.00927	-0.005973214832024152	0.0	0.0
0.010591	-0.005973214832024152	0.0	0.01148147395131943
0.011939	-0.04806987291757994	-0.0004184545275321081	0.008398524360596902
0.013182	-0.047005598799937945	-0.00040510576972912994	0.016685347649065922
t	x	y	th
t	x	y	th
0.005435	0.0	0.0	0.0
0.008162	0.0	0.0	0.0
0.009957	0.0	0.0	0.0
0.011716	0.0	0.0	0.0
0.013465	0.0	0.0	0.0
t	x	y	th
0.005261	0.0	0.0	0.0
0.007859	0.0	0.0	0.0
0.009704	0.0	0.0	0.0
0.011622	0.0	0.0	0.0
0.013458	0.0	0.0	0.0
0.015303	0.0	0.0	0.0
0.017199	0.0	0.0	0.0
t	x	y	th
t	x	y	th
0.005486	0.0	0.0	0.0
0.008056	0.0	0.0	0.0
0.009829	0.0	0.0	0.0
0.011691	0.0	0.0	0.0
t	x	y	th
t	x	y	th
0.005704	0.0	0.0	0.0
0.008557	0.0	0.0	0.0
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
t	x	y	th
0.005414	2.0074777056436237e-05	0.0	0.0
0.007925	2.0074777056436237e-05	0.0	0.0008539204484455734
0.010011	-0.007783118652516502	-6.596702692075827e-06	0.0008368491525167013
0.011542	-0.0077816613861025705	-6.595814619678537e-06	0.00038197024641018623
0.013	-0.007812863007128672	-6.600830427053241e-06	-6.04608397480888e-05
0.014325	-0.00781487290771298	-6.602428955153521e-06	0.001651114403127621
0.01631	-0.00789508141313842	-6.764422988154669e-06	0.0023882031700596623
0.01828	-0.008512806229941564	-8.186951052722027e-06	0.002217490210770053
0.020409	-0.008548374942980051	-8.271203931441086e-06	0.0025199722355109047
0.02245	-0.008557248994842061	-8.288526067125953e-06	0.0013840197522394307
0.024436	-0.00855126365956504	-8.28078825120821e-06	0.0012015702769987216
